architecture,mse,rmse,mae,train_time,avg_time_epoch,round,fed_round,building,user_key,cluster_index,cluster_id,cluster_buildings,poisoned_building,attack_type,attack_details,attack,experiment
BiLSTM,0.01639104261994362,0.1280275136232376,0.08378150314092636,95.56625556945801,2.6469799081484475,0,0,6,user1,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
SoftDenseMoE,0.014891046099364758,0.12202887237071991,0.0767311304807663,69.68903613090515,1.3865717887878417,0,0,6,user1,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
SoftLSTMMoE,0.01603381521999836,0.1266247034072876,0.07896482199430466,119.0913553237915,2.3747763347625734,0,0,6,user1,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
BiLSTM,0.007580543868243694,0.08706631511449814,0.04282533377408981,158.48344707489014,3.1595976638793943,0,0,7,user2,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
SoftDenseMoE,0.0075052096508443356,0.0866326093673706,0.044824860990047455,67.7760443687439,1.3496333503723144,0,0,7,user2,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
SoftLSTMMoE,0.007762952707707882,0.0881076231598854,0.04684086889028549,112.92998099327087,2.2500105810165407,0,0,7,user2,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
BiLSTM,0.014733443036675453,0.12138139456510544,0.07554591447114944,82.06171703338623,3.7134921117262407,0,1,6,user1,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
SoftDenseMoE,0.015984944999217987,0.12643158435821533,0.07686292380094528,55.42170190811157,1.2823825714200041,0,1,6,user1,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
SoftLSTMMoE,0.014480561017990112,0.12033520638942719,0.07494659721851349,93.53003191947937,2.1681294441223145,0,1,6,user1,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
BiLSTM,0.006882800254970789,0.08296264708042145,0.04470720887184143,59.49139881134033,3.9436784267425535,0,1,7,user2,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
