hour,mse,rmse,mae,user,architecture,round,fed_round,cluster_index,cluster_id,cluster_buildings,poisoned_building,attack_type,attack_details,attack,experiment
0,0.09524199366569519,0.3086130160341511,0.21708999574184418,user1,BiLSTM,0,0,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
1,0.050409186631441116,0.22451990252857568,0.19805368781089783,user1,BiLSTM,0,0,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
2,0.06389403343200684,0.2527726912306922,0.2155207395553589,user1,BiLSTM,0,0,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
3,0.020511550828814507,0.14321854219623417,0.12103083729743958,user1,BiLSTM,0,0,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
4,0.0073018744587898254,0.08545100618945235,0.06858598440885544,user1,BiLSTM,0,0,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
5,0.011632969602942467,0.10785624508085967,0.08045520633459091,user1,BiLSTM,0,0,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
6,0.015269237570464611,0.12356875644945453,0.10324732959270477,user1,BiLSTM,0,0,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
7,0.021381352096796036,0.14622363727111987,0.11949316412210464,user1,BiLSTM,0,0,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
8,0.025598356500267982,0.15999486398090404,0.10317680984735489,user1,BiLSTM,0,0,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
9,0.007478237152099609,0.08647680123651434,0.07135864347219467,user1,BiLSTM,0,0,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
10,0.00590304983779788,0.07683130766684816,0.05727901682257652,user1,BiLSTM,0,0,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
11,0.0038647358305752277,0.06216699953009818,0.04491238296031952,user1,BiLSTM,0,0,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
12,0.004846044350415468,0.06961353568391329,0.04729191213846207,user1,BiLSTM,0,0,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
13,0.002622716361656785,0.051212462952457044,0.04199410229921341,user1,BiLSTM,0,0,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
14,0.0025043266359716654,0.050043247656119054,0.03988801687955856,user1,BiLSTM,0,0,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
15,0.00322894100099802,0.05682377144292713,0.04442606866359711,user1,BiLSTM,0,0,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
16,0.003788210218772292,0.061548437988078075,0.04979543015360832,user1,BiLSTM,0,0,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
17,0.010255549103021622,0.10126968501492252,0.07201523333787918,user1,BiLSTM,0,0,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
18,0.020959651097655296,0.1447744835862152,0.10220514237880707,user1,BiLSTM,0,0,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
19,0.002478264505043626,0.04978217055375977,0.038193896412849426,user1,BiLSTM,0,0,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
20,0.003051874227821827,0.055243770941363395,0.040666449815034866,user1,BiLSTM,0,0,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
21,0.004062609747052193,0.06373860484080424,0.046652160584926605,user1,BiLSTM,0,0,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
22,0.0038717640563845634,0.06222350083677841,0.045867759734392166,user1,BiLSTM,0,0,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
23,0.0024733387399464846,0.049732672760937395,0.039346709847450256,user1,BiLSTM,0,0,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
0,0.1011490523815155,0.31803938809763094,0.23249225318431854,user1,SoftDenseMoE,0,0,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
1,0.05167962983250618,0.22733154165778707,0.17517144978046417,user1,SoftDenseMoE,0,0,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
2,0.03462085500359535,0.18606680252961663,0.14704927802085876,user1,SoftDenseMoE,0,0,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
3,0.01605895161628723,0.1267239188799306,0.11051830649375916,user1,SoftDenseMoE,0,0,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
4,0.009653748944401741,0.09825349329363176,0.08272333443164825,user1,SoftDenseMoE,0,0,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
5,0.013576153665781021,0.1165167527258678,0.0844024047255516,user1,SoftDenseMoE,0,0,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
6,0.014707226306200027,0.12127335365281207,0.09065496176481247,user1,SoftDenseMoE,0,0,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
7,0.0228104405105114,0.15103125673353646,0.12755627930164337,user1,SoftDenseMoE,0,0,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
8,0.02195478416979313,0.14817146881162085,0.09807990491390228,user1,SoftDenseMoE,0,0,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
9,0.006250391714274883,0.07905941888399436,0.057777345180511475,user1,SoftDenseMoE,0,0,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
10,0.00527507159858942,0.07262968813501419,0.045891884714365005,user1,SoftDenseMoE,0,0,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
11,0.00349845620803535,0.05914774896845484,0.04306629300117493,user1,SoftDenseMoE,0,0,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
12,0.004796141758561134,0.06925418224599243,0.048593923449516296,user1,SoftDenseMoE,0,0,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
13,0.0023241026792675257,0.048208948124466744,0.03833850845694542,user1,SoftDenseMoE,0,0,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
14,0.002239939756691456,0.047328001824411055,0.03270388022065163,user1,SoftDenseMoE,0,0,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
15,0.002033474389463663,0.04509406157648325,0.03110690414905548,user1,SoftDenseMoE,0,0,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
16,0.002607915783300996,0.051067756787438745,0.03268633410334587,user1,SoftDenseMoE,0,0,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
17,0.009693280793726444,0.09845446050701026,0.06522887945175171,user1,SoftDenseMoE,0,0,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
18,0.015135256573557854,0.12302543059692111,0.08357685059309006,user1,SoftDenseMoE,0,0,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
19,0.0028180021326988935,0.053084857847590525,0.0382743701338768,user1,SoftDenseMoE,0,0,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
20,0.0032379799522459507,0.0569032508056082,0.04124594107270241,user1,SoftDenseMoE,0,0,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
21,0.0036036972887814045,0.06003080283305733,0.04434466361999512,user1,SoftDenseMoE,0,0,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",91Load_Backdoor_NoiseScale_0p0
