architecture,mse,rmse,mae,train_time,avg_time_epoch,round,fed_round,building,user_key,cluster_index,cluster_id,cluster_buildings,poisoned_building,attack_type,attack_details,attack,experiment
BiLSTM,0.0070673031732439995,0.08406725525856018,0.04726816341280937,53.25236797332764,2.7892797746156393,0,0,6,user1,1,C01,6-7,6,poison,"mode=noise, distribution=uniform, scale=0.2","poison(mode=noise, distribution=uniform, scale=0.2)",92PV_Poison_NoiseScale_0p2
SoftDenseMoE,0.005789675749838352,0.07608991861343384,0.04210810363292694,20.45342779159546,1.0145970582962036,0,0,6,user1,1,C01,6-7,6,poison,"mode=noise, distribution=uniform, scale=0.2","poison(mode=noise, distribution=uniform, scale=0.2)",92PV_Poison_NoiseScale_0p2
SoftLSTMMoE,0.006757970899343491,0.08220687508583069,0.049853771924972534,46.29084253311157,2.091268214312467,0,0,6,user1,1,C01,6-7,6,poison,"mode=noise, distribution=uniform, scale=0.2","poison(mode=noise, distribution=uniform, scale=0.2)",92PV_Poison_NoiseScale_0p2
BiLSTM,0.004211822524666786,0.06489855796098709,0.031990330666303635,149.13258957862854,2.975449175834656,0,0,7,user2,1,C01,6-7,6,poison,"mode=noise, distribution=uniform, scale=0.2","poison(mode=noise, distribution=uniform, scale=0.2)",92PV_Poison_NoiseScale_0p2
SoftDenseMoE,0.00412542000412941,0.06422943621873856,0.03150124102830887,59.39582371711731,1.1829609298706054,0,0,7,user2,1,C01,6-7,6,poison,"mode=noise, distribution=uniform, scale=0.2","poison(mode=noise, distribution=uniform, scale=0.2)",92PV_Poison_NoiseScale_0p2
SoftLSTMMoE,0.004156054463237524,0.06446746736764908,0.03228199481964111,95.36878943443298,1.9014114809036256,0,0,7,user2,1,C01,6-7,6,poison,"mode=noise, distribution=uniform, scale=0.2","poison(mode=noise, distribution=uniform, scale=0.2)",92PV_Poison_NoiseScale_0p2
BiLSTM,0.005980935879051685,0.07733651250600815,0.039925746619701385,64.51344680786133,3.0568942569551014,0,1,6,user1,1,C01,6-7,6,poison,"mode=noise, distribution=uniform, scale=0.2","poison(mode=noise, distribution=uniform, scale=0.2)",92PV_Poison_NoiseScale_0p2
SoftDenseMoE,0.005608904175460339,0.07489261776208878,0.040623728185892105,24.426850080490112,1.2741828968650417,0,1,6,user1,1,C01,6-7,6,poison,"mode=noise, distribution=uniform, scale=0.2","poison(mode=noise, distribution=uniform, scale=0.2)",92PV_Poison_NoiseScale_0p2
SoftLSTMMoE,0.005971396341919899,0.07727481424808502,0.04498669132590294,42.00238394737244,2.1979771036850777,0,1,6,user1,1,C01,6-7,6,poison,"mode=noise, distribution=uniform, scale=0.2","poison(mode=noise, distribution=uniform, scale=0.2)",92PV_Poison_NoiseScale_0p2
BiLSTM,0.004089461173862219,0.06394889205694199,0.028710398823022842,128.93437957763672,2.7367842755419143,0,1,7,user2,1,C01,6-7,6,poison,"mode=noise, distribution=uniform, scale=0.2","poison(mode=noise, distribution=uniform, scale=0.2)",92PV_Poison_NoiseScale_0p2
