architecture,mse,rmse,mae,train_time,avg_time_epoch,round,fed_round,building,user_key,cluster_index,cluster_id,cluster_buildings,poisoned_building,attack_type,attack_details,attack,experiment
BiLSTM,0.010153827257454395,0.10076620429754257,0.06525164097547531,192.66916918754578,2.786157148471777,0,0,6,user1,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",93Prosumption_Backdoor_NoiseScale_0p0
SoftDenseMoE,0.009810490533709526,0.09904792159795761,0.06506770849227905,47.631646394729614,1.2144391475579677,0,0,6,user1,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",93Prosumption_Backdoor_NoiseScale_0p0
SoftLSTMMoE,0.009979123249650002,0.09989555925130844,0.0646866112947464,170.2886185646057,1.8068784348508145,0,0,6,user1,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",93Prosumption_Backdoor_NoiseScale_0p0
BiLSTM,0.0049798814579844475,0.0705682784318924,0.04083051159977913,119.65860557556152,2.594305955845377,0,0,7,user2,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",93Prosumption_Backdoor_NoiseScale_0p0
SoftDenseMoE,0.00444457121193409,0.06666761636734009,0.041521526873111725,65.5210211277008,1.1256519309405624,0,0,7,user2,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",93Prosumption_Backdoor_NoiseScale_0p0
SoftLSTMMoE,0.004089978523552418,0.06395293772220612,0.038335494697093964,177.92686700820923,1.7749612545967102,0,0,7,user2,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",93Prosumption_Backdoor_NoiseScale_0p0
BiLSTM,0.010356598533689976,0.10176737606525421,0.06484249979257584,85.52227306365967,2.6611282974481583,0,1,6,user1,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",93Prosumption_Backdoor_NoiseScale_0p0
SoftDenseMoE,0.009877430275082588,0.09938526153564453,0.06541185826063156,28.68962264060974,1.2376492852750032,0,1,6,user1,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",93Prosumption_Backdoor_NoiseScale_0p0
SoftLSTMMoE,0.009246026165783405,0.09615626186132431,0.06248999759554863,83.22698974609375,1.928315134935601,0,1,6,user1,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",93Prosumption_Backdoor_NoiseScale_0p0
BiLSTM,0.00406830757856369,0.06378328800201416,0.03643835335969925,97.94331884384155,2.7107508050070868,0,1,7,user2,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",93Prosumption_Backdoor_NoiseScale_0p0
SoftDenseMoE,0.004768708720803261,0.06905584037303925,0.043233536183834076,39.90066576004028,1.1339332171848842,0,1,7,user2,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",93Prosumption_Backdoor_NoiseScale_0p0
SoftLSTMMoE,0.004217646084725857,0.06494341045618057,0.03845752030611038,46.22911715507507,1.9987861799157185,0,1,7,user2,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",93Prosumption_Backdoor_NoiseScale_0p0
BiLSTM,0.009567683562636375,0.09781453758478165,0.06408476084470749,60.65419363975525,3.1772633602744653,0,2,6,user1,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",93Prosumption_Backdoor_NoiseScale_0p0
SoftDenseMoE,0.009622464887797832,0.0980941653251648,0.06448943167924881,30.845508575439453,1.1791276931762695,0,2,6,user1,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",93Prosumption_Backdoor_NoiseScale_0p0
SoftLSTMMoE,0.00915069691836834,0.0956592783331871,0.06241676211357117,83.05935144424438,1.924382209777832,0,2,6,user1,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",93Prosumption_Backdoor_NoiseScale_0p0
BiLSTM,0.004372330382466316,0.0661235973238945,0.03861497342586517,56.31781506538391,2.946693357668425,0,2,7,user2,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",93Prosumption_Backdoor_NoiseScale_0p0
SoftDenseMoE,0.004731588065624237,0.06878653913736343,0.04218635708093643,22.459269762039185,1.1713434896971051,0,2,7,user2,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",93Prosumption_Backdoor_NoiseScale_0p0
SoftLSTMMoE,0.004288294352591038,0.06548506766557693,0.038778841495513916,49.78420686721802,2.153302638427071,0,2,7,user2,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",93Prosumption_Backdoor_NoiseScale_0p0
BiLSTM,0.010214084759354591,0.1010647565126419,0.06700293719768524,130.801340341568,2.5569717556822535,1,0,6,user1,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",93Prosumption_Backdoor_NoiseScale_0p0
SoftDenseMoE,0.00969320721924305,0.09845408797264099,0.06364698708057404,67.5510139465332,1.1578116827997669,1,0,6,user1,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",93Prosumption_Backdoor_NoiseScale_0p0
SoftLSTMMoE,0.009352518245577812,0.09670841693878174,0.06397842615842819,181.698970079422,1.8134594035148621,1,0,6,user1,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",93Prosumption_Backdoor_NoiseScale_0p0
BiLSTM,0.00484646437689662,0.06961655616760254,0.04074738174676895,136.7734134197235,2.5743130602926576,1,0,7,user2,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",93Prosumption_Backdoor_NoiseScale_0p0
SoftDenseMoE,0.004319664090871811,0.06572414934635162,0.039120107889175415,59.83278179168701,1.1449526594235346,1,0,7,user2,1,C01,6-7,6,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0, activate_in_test=True)",93Prosumption_Backdoor_NoiseScale_0p0
