architecture,mse,rmse,mae,train_time,avg_time_epoch,round,fed_round,building,user_key,cluster_index,cluster_id,cluster_buildings,poisoned_building,attack_type,attack_details,attack,experiment
BiLSTM,0.014900224283337593,0.12206647545099258,0.07847042381763458,81.7652850151062,2.3300554752349854,0,0,6,user1,1,C01,6-7,6,poison,"mode=noise, distribution=uniform, scale=0.4","poison(mode=noise, distribution=uniform, scale=0.4)",93Prosumption_Poison_NoiseScale_0p4
SoftDenseMoE,0.01715812459588051,0.13098903000354767,0.08442460000514984,21.545268297195435,0.8785160209821619,0,0,6,user1,1,C01,6-7,6,poison,"mode=noise, distribution=uniform, scale=0.4","poison(mode=noise, distribution=uniform, scale=0.4)",93Prosumption_Poison_NoiseScale_0p4
SoftLSTMMoE,0.016842026263475418,0.12977683544158936,0.08435694873332977,49.88440680503845,1.603500227774343,0,0,6,user1,1,C01,6-7,6,poison,"mode=noise, distribution=uniform, scale=0.4","poison(mode=noise, distribution=uniform, scale=0.4)",93Prosumption_Poison_NoiseScale_0p4
BiLSTM,0.005178949795663357,0.07196491956710815,0.0434194914996624,89.33588027954102,2.3445390337391903,0,0,7,user2,1,C01,6-7,6,poison,"mode=noise, distribution=uniform, scale=0.4","poison(mode=noise, distribution=uniform, scale=0.4)",93Prosumption_Poison_NoiseScale_0p4
SoftDenseMoE,0.004840725567191839,0.06957532465457916,0.04080669954419136,41.73269701004028,0.8316397333145141,0,0,7,user2,1,C01,6-7,6,poison,"mode=noise, distribution=uniform, scale=0.4","poison(mode=noise, distribution=uniform, scale=0.4)",93Prosumption_Poison_NoiseScale_0p4
SoftLSTMMoE,0.0056992885656654835,0.07549363374710083,0.044692616909742355,73.78711676597595,1.4719030141830445,0,0,7,user2,1,C01,6-7,6,poison,"mode=noise, distribution=uniform, scale=0.4","poison(mode=noise, distribution=uniform, scale=0.4)",93Prosumption_Poison_NoiseScale_0p4
BiLSTM,0.01564413122832775,0.1250765025615692,0.07876931130886078,29.594534397125244,2.450926502545675,0,1,6,user1,1,C01,6-7,6,poison,"mode=noise, distribution=uniform, scale=0.4","poison(mode=noise, distribution=uniform, scale=0.4)",93Prosumption_Poison_NoiseScale_0p4
SoftDenseMoE,0.015719939023256302,0.12537917494773865,0.08272083103656769,18.872592210769653,0.8154355235721754,0,1,6,user1,1,C01,6-7,6,poison,"mode=noise, distribution=uniform, scale=0.4","poison(mode=noise, distribution=uniform, scale=0.4)",93Prosumption_Poison_NoiseScale_0p4
SoftLSTMMoE,0.0159933939576149,0.12646499276161194,0.0832228884100914,34.46252131462097,1.492251271786897,0,1,6,user1,1,C01,6-7,6,poison,"mode=noise, distribution=uniform, scale=0.4","poison(mode=noise, distribution=uniform, scale=0.4)",93Prosumption_Poison_NoiseScale_0p4
BiLSTM,0.005297321826219559,0.07278270274400711,0.04353375732898712,155.8142478466034,3.110097017288208,0,1,7,user2,1,C01,6-7,6,poison,"mode=noise, distribution=uniform, scale=0.4","poison(mode=noise, distribution=uniform, scale=0.4)",93Prosumption_Poison_NoiseScale_0p4
SoftDenseMoE,0.004374816082417965,0.06614239513874054,0.03946363180875778,46.99058508872986,1.0177351961965146,0,1,7,user2,1,C01,6-7,6,poison,"mode=noise, distribution=uniform, scale=0.4","poison(mode=noise, distribution=uniform, scale=0.4)",93Prosumption_Poison_NoiseScale_0p4
SoftLSTMMoE,0.0046012564562261105,0.06783255934715271,0.03945247083902359,75.56726264953613,1.5071940851211547,0,1,7,user2,1,C01,6-7,6,poison,"mode=noise, distribution=uniform, scale=0.4","poison(mode=noise, distribution=uniform, scale=0.4)",93Prosumption_Poison_NoiseScale_0p4
