architecture,mse,rmse,mae,train_time,avg_time_epoch,round,fed_round,building,user_key,cluster_index,cluster_id,cluster_buildings,poisoned_building,attack_type,attack_details,attack,experiment
MLP,0.004184064455330372,0.06468434631824493,0.04052635654807091,12.906121730804443,0.25490488529205324,0,-1,16,user1,1,C01,16-10,16,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",90Load_LocalLearning
SoftDenseMoE,0.004782780073583126,0.06915764510631561,0.050816334784030914,62.404247999191284,1.2440265464782714,0,-1,16,user1,1,C01,16-10,16,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",90Load_LocalLearning
MLP,0.01629853993654251,0.12766572833061218,0.0706278383731842,12.764910697937012,0.25222270011901854,0,-1,10,user2,1,C01,16-10,16,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",90Load_LocalLearning
SoftDenseMoE,0.022316113114356995,0.14938578009605408,0.08344356715679169,61.719948291778564,1.230859293937683,0,-1,10,user2,1,C01,16-10,16,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",90Load_LocalLearning
MLP,0.011481629684567451,0.10715236514806747,0.0666598305106163,11.237743616104126,0.22217195987701416,0,-1,15,user1,2,C02,15-8,15,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",90Load_LocalLearning
SoftDenseMoE,0.013248026371002197,0.11510007083415985,0.07293705642223358,54.46684646606445,1.086368474960327,0,-1,15,user1,2,C02,15-8,15,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",90Load_LocalLearning
MLP,0.010363501496613026,0.10180128365755081,0.06899935007095337,10.76473069190979,0.21255255699157716,0,-1,8,user2,2,C02,15-8,15,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",90Load_LocalLearning
SoftDenseMoE,0.011779281310737133,0.10853239893913269,0.07478819787502289,60.10562872886658,1.1923686838150025,0,-1,8,user2,2,C02,15-8,15,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",90Load_LocalLearning
MLP,0.003056385088711977,0.05528458207845688,0.030293617397546768,12.63904333114624,0.24958230495452882,0,-1,13,user1,3,C03,13-11,13,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",90Load_LocalLearning
SoftDenseMoE,0.003109823912382126,0.055765796452760696,0.0294566098600626,62.339988470077515,1.2425381278991698,0,-1,13,user1,3,C03,13-11,13,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",90Load_LocalLearning
MLP,0.004226373042911291,0.06501056253910065,0.046725451946258545,12.904678344726562,0.2552108860015869,0,-1,11,user2,3,C03,13-11,13,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",90Load_LocalLearning
SoftDenseMoE,0.004069396760314703,0.06379182636737823,0.04219895973801613,61.966673612594604,1.2358337783813476,0,-1,11,user2,3,C03,13-11,13,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",90Load_LocalLearning
MLP,0.0069199977442622185,0.08318652212619781,0.04408355802297592,12.6740083694458,0.2506800889968872,0,-1,7,user1,4,C04,7-20,7,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",90Load_LocalLearning
SoftDenseMoE,0.010075622238218784,0.1003773957490921,0.05507751554250717,58.319202184677124,1.162684006690979,0,-1,7,user1,4,C04,7-20,7,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",90Load_LocalLearning
