architecture,mse,rmse,mae,train_time,avg_time_epoch,round,fed_round,building,user_key,cluster_index,cluster_id,cluster_buildings,poisoned_building,attack_type,attack_details,attack,experiment
MLP,0.003672476392239332,0.06060095876455307,0.030751977115869522,12.389794826507568,0.24499374389648437,0,-1,16,user1,1,C01,16-10,16,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",90PV_LocalLearning
SoftDenseMoE,0.003930303268134594,0.06269212812185287,0.03203672543168068,57.61434197425842,1.1487661123275756,0,-1,16,user1,1,C01,16-10,16,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",90PV_LocalLearning
MLP,0.006543555296957493,0.08089224249124527,0.03791132569313049,12.377238273620605,0.24488346576690673,0,-1,10,user2,1,C01,16-10,16,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",90PV_LocalLearning
SoftDenseMoE,0.007273220457136631,0.08528317511081696,0.040895480662584305,64.59735488891602,1.2877651071548462,0,-1,10,user2,1,C01,16-10,16,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",90PV_LocalLearning
MLP,0.0075737773440778255,0.08702745288610458,0.04128639027476311,11.762853622436523,0.23277774333953857,0,-1,15,user1,2,C02,15-8,15,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",90PV_LocalLearning
SoftDenseMoE,0.008051170036196709,0.08972831070423126,0.04399793595075607,60.81170463562012,1.2123712015151977,0,-1,15,user1,2,C02,15-8,15,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",90PV_LocalLearning
MLP,0.002743480261415243,0.05237824097275734,0.027532771229743958,13.179063320159912,0.260582013130188,0,-1,8,user2,2,C02,15-8,15,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",90PV_LocalLearning
SoftDenseMoE,0.0030943439342081547,0.05562682822346687,0.030166739597916603,59.455586671829224,1.185470824241638,0,-1,8,user2,2,C02,15-8,15,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",90PV_LocalLearning
MLP,0.0037761572748422623,0.06145044416189194,0.031452130526304245,11.468254327774048,0.2262647533416748,0,-1,13,user1,3,C03,13-11,13,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",90PV_LocalLearning
SoftDenseMoE,0.004625500179827213,0.06801103055477142,0.03539449721574783,60.8328275680542,1.2126333141326904,0,-1,13,user1,3,C03,13-11,13,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",90PV_LocalLearning
