architecture,mse,rmse,mae,train_time,avg_time_epoch,round,fed_round,building,user_key,cluster_index,cluster_id,cluster_buildings,poisoned_building,attack_type,attack_details,attack,experiment
MLP,0.003228649962693453,0.05682121217250824,0.0402558259665966,10.94627571105957,0.23513569002566131,0,-1,16,user1,1,C01,16-10,16,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",90Prosumption_LocalLearning
SoftDenseMoE,0.004524179734289646,0.06726202368736267,0.053572624921798706,65.69390869140625,1.3100367736816407,0,-1,16,user1,1,C01,16-10,16,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",90Prosumption_LocalLearning
MLP,0.011980721727013588,0.10945647954940796,0.05846574157476425,12.496558427810669,0.24749310493469237,0,-1,10,user2,1,C01,16-10,16,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",90Prosumption_LocalLearning
SoftDenseMoE,0.017403243109583855,0.13192135095596313,0.07387346774339676,62.37130784988403,1.243505563735962,0,-1,10,user2,1,C01,16-10,16,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",90Prosumption_LocalLearning
MLP,0.008391762152314186,0.09160656481981277,0.048888057470321655,13.30207872390747,0.2631770372390747,0,-1,15,user1,2,C02,15-8,15,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",90Prosumption_LocalLearning
SoftDenseMoE,0.009472627192735672,0.09732742607593536,0.05391673371195793,70.50007033348083,1.405680251121521,0,-1,15,user1,2,C02,15-8,15,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",90Prosumption_LocalLearning
MLP,0.0097213638946414,0.0985969752073288,0.06411252170801163,14.53075909614563,0.28755401134490965,0,-1,8,user2,2,C02,15-8,15,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",90Prosumption_LocalLearning
SoftDenseMoE,0.010477676056325436,0.10236051678657532,0.06651463359594345,75.33823418617249,1.5029640531539916,0,-1,8,user2,2,C02,15-8,15,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",90Prosumption_LocalLearning
MLP,0.0024728071875870228,0.04972732812166214,0.02971159853041172,13.062206745147705,0.2583845329284668,0,-1,13,user1,3,C03,13-11,13,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",90Prosumption_LocalLearning
SoftDenseMoE,0.0026366717647761106,0.05134853348135948,0.0302643533796072,75.79322242736816,1.5116463851928712,0,-1,13,user1,3,C03,13-11,13,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",90Prosumption_LocalLearning
MLP,0.003324667690321803,0.05765993148088455,0.041975367814302444,14.062306642532349,0.2782844352722168,0,-1,11,user2,3,C03,13-11,13,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",90Prosumption_LocalLearning
SoftDenseMoE,0.0034202286042273045,0.05848272144794464,0.04244920611381531,70.89774680137634,1.413537859916687,0,-1,11,user2,3,C03,13-11,13,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",90Prosumption_LocalLearning
MLP,0.005028211511671543,0.07090988010168076,0.04333912581205368,13.835009813308716,0.273879337310791,0,-1,7,user1,4,C04,7-20,7,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",90Prosumption_LocalLearning
SoftDenseMoE,0.006926188711076975,0.08322373032569885,0.05019227787852287,69.12912845611572,1.3780827808380127,0,-1,7,user1,4,C04,7-20,7,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",90Prosumption_LocalLearning
MLP,0.0038594561628997326,0.06212452054023743,0.03818129375576973,13.566806077957153,0.2685146474838257,0,-1,20,user2,4,C04,7-20,7,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",90Prosumption_LocalLearning
