architecture,mse,rmse,mae,train_time,avg_time_epoch,round,fed_round,building,user_key,cluster_index,cluster_id,cluster_buildings,poisoned_building,attack_type,attack_details,attack,experiment
MLP,0.0061905900947749615,0.07868030667304993,0.05764337629079819,32.24385094642639,0.8906926115353903,0,2,16,user1,1,C01,16-10,16,backdoor,"mode=gan, start=None, steps=4, epsilon=0.3, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.3, lambda_reg=0.0001)",91Load_Backdoor_GanScale_0p3_LocalRetraining
SoftDenseMoE,0.006169645581394434,0.07854709029197693,0.06056274101138115,198.40002846717834,3.960564293861389,0,2,16,user1,1,C01,16-10,16,backdoor,"mode=gan, start=None, steps=4, epsilon=0.3, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.3, lambda_reg=0.0001)",91Load_Backdoor_GanScale_0p3_LocalRetraining
MLP,0.015752315521240234,0.12550823390483856,0.06663021445274353,18.861133098602295,0.7191276091795701,0,2,10,user2,1,C01,16-10,16,backdoor,"mode=gan, start=None, steps=4, epsilon=0.3, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.3, lambda_reg=0.0001)",91Load_Backdoor_GanScale_0p3_LocalRetraining
SoftDenseMoE,0.018139854073524475,0.13468427956104279,0.07332050055265427,182.304292678833,3.6367093229293825,0,2,10,user2,1,C01,16-10,16,backdoor,"mode=gan, start=None, steps=4, epsilon=0.3, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.3, lambda_reg=0.0001)",91Load_Backdoor_GanScale_0p3_LocalRetraining
MLP,0.01076536811888218,0.10375629365444183,0.06615143269300461,16.02817988395691,0.6610537171363831,0,2,15,user1,2,C02,15-8,15,backdoor,"mode=gan, start=None, steps=4, epsilon=0.3, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.3, lambda_reg=0.0001)",91Load_Backdoor_GanScale_0p3_LocalRetraining
SoftDenseMoE,0.013161865063011646,0.11472517251968384,0.07434658706188202,182.6842577457428,3.6465115308761598,0,2,15,user1,2,C02,15-8,15,backdoor,"mode=gan, start=None, steps=4, epsilon=0.3, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.3, lambda_reg=0.0001)",91Load_Backdoor_GanScale_0p3_LocalRetraining
MLP,0.009501656517386436,0.09747643768787384,0.06582437455654144,31.59038782119751,0.6278332614898682,0,2,8,user2,2,C02,15-8,15,backdoor,"mode=gan, start=None, steps=4, epsilon=0.3, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.3, lambda_reg=0.0001)",91Load_Backdoor_GanScale_0p3_LocalRetraining
SoftDenseMoE,0.010247205384075642,0.10122848302125931,0.06934952735900879,167.65016865730286,3.344845871925354,0,2,8,user2,2,C02,15-8,15,backdoor,"mode=gan, start=None, steps=4, epsilon=0.3, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.3, lambda_reg=0.0001)",91Load_Backdoor_GanScale_0p3_LocalRetraining
MLP,0.003175837453454733,0.05635456740856171,0.03379703685641289,10.558135032653809,0.6944830894470215,0,2,13,user1,3,C03,13-11,13,backdoor,"mode=gan, start=None, steps=4, epsilon=0.3, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.3, lambda_reg=0.0001)",91Load_Backdoor_GanScale_0p3_LocalRetraining
SoftDenseMoE,0.003118646563962102,0.05584484338760376,0.03217211738228798,156.79738926887512,3.475483194986979,0,2,13,user1,3,C03,13-11,13,backdoor,"mode=gan, start=None, steps=4, epsilon=0.3, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.3, lambda_reg=0.0001)",91Load_Backdoor_GanScale_0p3_LocalRetraining
MLP,0.003939323127269745,0.06276402622461319,0.04241528362035751,27.006637573242188,0.703914811736659,0,2,11,user2,3,C03,13-11,13,backdoor,"mode=gan, start=None, steps=4, epsilon=0.3, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.3, lambda_reg=0.0001)",91Load_Backdoor_GanScale_0p3_LocalRetraining
SoftDenseMoE,0.0038209189660847187,0.061813581734895706,0.03871888667345047,103.28149604797363,3.5494701862335205,0,2,11,user2,3,C03,13-11,13,backdoor,"mode=gan, start=None, steps=4, epsilon=0.3, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.3, lambda_reg=0.0001)",91Load_Backdoor_GanScale_0p3_LocalRetraining
MLP,0.008214951492846012,0.09063637256622314,0.05340946465730667,35.34317445755005,0.7019158029556274,0,2,7,user1,4,C04,7-20,7,backdoor,"mode=gan, start=None, steps=4, epsilon=0.3, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.3, lambda_reg=0.0001)",91Load_Backdoor_GanScale_0p3_LocalRetraining
SoftDenseMoE,0.008831256069242954,0.0939747616648674,0.056565843522548676,184.55449151992798,3.6845020961761477,0,2,7,user1,4,C04,7-20,7,backdoor,"mode=gan, start=None, steps=4, epsilon=0.3, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.3, lambda_reg=0.0001)",91Load_Backdoor_GanScale_0p3_LocalRetraining
MLP,0.00441803177818656,0.06646827608346939,0.03755221515893936,31.7852041721344,0.632439661026001,0,2,20,user2,4,C04,7-20,7,backdoor,"mode=gan, start=None, steps=4, epsilon=0.3, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.3, lambda_reg=0.0001)",91Load_Backdoor_GanScale_0p3_LocalRetraining
SoftDenseMoE,0.004554820712655783,0.06748941540718079,0.038386452943086624,151.19566535949707,3.5068425799525063,0,2,20,user2,4,C04,7-20,7,backdoor,"mode=gan, start=None, steps=4, epsilon=0.3, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.3, lambda_reg=0.0001)",91Load_Backdoor_GanScale_0p3_LocalRetraining
MLP,0.008757694624364376,0.09358255565166473,0.053264420479536057,24.390204429626465,0.6919003350394113,0,2,4,user1,5,C05,4-1,4,backdoor,"mode=gan, start=None, steps=4, epsilon=0.3, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.3, lambda_reg=0.0001)",91Load_Backdoor_GanScale_0p3_LocalRetraining
SoftDenseMoE,0.00914289616048336,0.09561849385499954,0.053454913198947906,186.00686359405518,3.7122921895980836,0,2,4,user1,5,C05,4-1,4,backdoor,"mode=gan, start=None, steps=4, epsilon=0.3, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.3, lambda_reg=0.0001)",91Load_Backdoor_GanScale_0p3_LocalRetraining
MLP,0.01622326299548149,0.12737056612968445,0.08845775574445724,25.550529956817627,0.7918974682688713,0,2,1,user2,5,C05,4-1,4,backdoor,"mode=gan, start=None, steps=4, epsilon=0.3, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.3, lambda_reg=0.0001)",91Load_Backdoor_GanScale_0p3_LocalRetraining
SoftDenseMoE,0.016906237229704857,0.1300239861011505,0.09044399857521057,181.2622151374817,3.61738196849823,0,2,1,user2,5,C05,4-1,4,backdoor,"mode=gan, start=None, steps=4, epsilon=0.3, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.3, lambda_reg=0.0001)",91Load_Backdoor_GanScale_0p3_LocalRetraining
MLP,0.005136837251484394,0.0716717317700386,0.045509882271289825,9.831923007965088,0.8778221173719927,0,2,17,user1,6,C06,17-6,17,backdoor,"mode=gan, start=None, steps=4, epsilon=0.3, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.3, lambda_reg=0.0001)",91Load_Backdoor_GanScale_0p3_LocalRetraining
