architecture,mse,rmse,mae,train_time,avg_time_epoch,round,fed_round,building,user_key,cluster_index,cluster_id,cluster_buildings,poisoned_building,attack_type,attack_details,attack,experiment
MLP,0.0040400950238108635,0.06356174498796463,0.039869967848062515,4.375584363937378,0.26751193404197693,0,2,16,user1,1,C01,16-10-15-8-13,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",91Load_Backdoor_NoiseScale_0p0_Secure
SoftDenseMoE,0.00381256896071136,0.06174600496888161,0.034850239753723145,9.914819955825806,0.8896781314503063,0,2,16,user1,1,C01,16-10-15-8-13,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",91Load_Backdoor_NoiseScale_0p0_Secure
MLP,0.015459051355719566,0.1243344321846962,0.06565548479557037,7.311116456985474,0.24885361770103717,0,2,10,user2,1,C01,16-10-15-8-13,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",91Load_Backdoor_NoiseScale_0p0_Secure
SoftDenseMoE,0.02158636599779129,0.1469229906797409,0.07639097422361374,41.42921805381775,0.8254472684860229,0,2,10,user2,1,C01,16-10-15-8-13,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",91Load_Backdoor_NoiseScale_0p0_Secure
MLP,0.010658997111022472,0.1032424196600914,0.06160523742437363,12.543585538864136,0.24794454574584962,0,2,15,user3,1,C01,16-10-15-8-13,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",91Load_Backdoor_NoiseScale_0p0_Secure
SoftDenseMoE,0.012659547850489616,0.11251465976238251,0.06492017209529877,40.44727087020874,0.8062930488586426,0,2,15,user3,1,C01,16-10-15-8-13,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",91Load_Backdoor_NoiseScale_0p0_Secure
MLP,0.009672201238572598,0.09834735095500946,0.06692096590995789,7.122311115264893,0.26035017437405056,0,2,8,user4,1,C01,16-10-15-8-13,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",91Load_Backdoor_NoiseScale_0p0_Secure
SoftDenseMoE,0.01016690768301487,0.10083108395338058,0.06825264543294907,39.32878255844116,0.7831701135635376,0,2,8,user4,1,C01,16-10-15-8-13,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",91Load_Backdoor_NoiseScale_0p0_Secure
MLP,0.0030099169816821814,0.05486271157860756,0.029387708753347397,4.467308282852173,0.2724808603525162,0,2,13,user5,1,C01,16-10-15-8-13,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",91Load_Backdoor_NoiseScale_0p0_Secure
SoftDenseMoE,0.0029858038760721684,0.054642509669065475,0.028706694021821022,31.989152431488037,0.7771290686072373,0,2,13,user5,1,C01,16-10-15-8-13,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",91Load_Backdoor_NoiseScale_0p0_Secure
MLP,0.003996182698756456,0.06321536749601364,0.041791435331106186,8.612873792648315,0.25697960275592224,0,2,11,user1,2,C02,11-7-20-4-1,11,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",91Load_Backdoor_NoiseScale_0p0_Secure
SoftDenseMoE,0.003888546023517847,0.06235820800065994,0.039372969418764114,32.32089161872864,0.8250118769132174,0,2,11,user1,2,C02,11-7-20-4-1,11,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",91Load_Backdoor_NoiseScale_0p0_Secure
MLP,0.0068158479407429695,0.08255814760923386,0.04655877873301506,12.677040338516235,0.2505657625198364,0,2,7,user2,2,C02,11-7-20-4-1,11,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",91Load_Backdoor_NoiseScale_0p0_Secure
SoftDenseMoE,0.00809310469776392,0.08996168524026871,0.04835420846939087,41.84157752990723,0.8342714548110962,0,2,7,user2,2,C02,11-7-20-4-1,11,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",91Load_Backdoor_NoiseScale_0p0_Secure
MLP,0.0050020115450024605,0.07072489708662033,0.040336836129426956,5.2147955894470215,0.25535809993743896,0,2,20,user3,2,C02,11-7-20-4-1,11,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",91Load_Backdoor_NoiseScale_0p0_Secure
SoftDenseMoE,0.004456990398466587,0.06676069647073746,0.037144385278224945,34.25904393196106,0.8526240527629853,0,2,20,user3,2,C02,11-7-20-4-1,11,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",91Load_Backdoor_NoiseScale_0p0_Secure
MLP,0.008354085497558117,0.09140068292617798,0.045693766325712204,12.812432289123535,0.2537839889526367,0,2,4,user4,2,C02,11-7-20-4-1,11,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",91Load_Backdoor_NoiseScale_0p0_Secure
SoftDenseMoE,0.009949423372745514,0.09974679350852966,0.05416087061166763,40.53571891784668,0.8072679328918457,0,2,4,user4,2,C02,11-7-20-4-1,11,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",91Load_Backdoor_NoiseScale_0p0_Secure
MLP,0.01636899821460247,0.12794138491153717,0.08822282403707504,9.331345558166504,0.23579721573071602,0,2,1,user5,2,C02,11-7-20-4-1,11,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",91Load_Backdoor_NoiseScale_0p0_Secure
SoftDenseMoE,0.017500868067145348,0.13229084014892578,0.0918542891740799,43.18480587005615,0.8610737228393555,0,2,1,user5,2,C02,11-7-20-4-1,11,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",91Load_Backdoor_NoiseScale_0p0_Secure
MLP,0.004437585361301899,0.06661520153284073,0.04472887143492699,11.331287860870361,0.22394873142242433,0,2,17,user1,3,C03,17-6-12-19-3,17,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",91Load_Backdoor_NoiseScale_0p0_Secure
SoftDenseMoE,0.0043077534064650536,0.06563347578048706,0.04189104959368706,44.455684185028076,0.8863989973068237,0,2,17,user1,3,C03,17-6-12-19-3,17,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",91Load_Backdoor_NoiseScale_0p0_Secure
MLP,0.01294445525854826,0.11377370357513428,0.07318194210529327,10.254873514175415,0.23574621732844864,0,2,6,user2,3,C03,17-6-12-19-3,17,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",91Load_Backdoor_NoiseScale_0p0_Secure
SoftDenseMoE,0.016641434282064438,0.1290016770362854,0.0809294804930687,44.172999143600464,0.8806364583969116,0,2,6,user2,3,C03,17-6-12-19-3,17,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",91Load_Backdoor_NoiseScale_0p0_Secure
MLP,0.002239454071968794,0.047322869300842285,0.03163578733801842,12.349746227264404,0.24460907459259032,0,2,12,user3,3,C03,17-6-12-19-3,17,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",91Load_Backdoor_NoiseScale_0p0_Secure
SoftDenseMoE,0.002355345757678151,0.0485319048166275,0.03338513895869255,31.96563696861267,0.8368472551044664,0,2,12,user3,3,C03,17-6-12-19-3,17,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",91Load_Backdoor_NoiseScale_0p0_Secure
MLP,0.005668482277542353,0.07528932392597198,0.03356671705842018,3.61625599861145,0.2707975277533898,0,2,19,user4,3,C03,17-6-12-19-3,17,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",91Load_Backdoor_NoiseScale_0p0_Secure
SoftDenseMoE,0.005701614078134298,0.07550903409719467,0.03267795220017433,11.704074382781982,0.8900100818047156,0,2,19,user4,3,C03,17-6-12-19-3,17,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",91Load_Backdoor_NoiseScale_0p0_Secure
MLP,0.004156958311796188,0.06447447836399078,0.03200598061084747,3.1218302249908447,0.2743723825974898,0,2,3,user5,3,C03,17-6-12-19-3,17,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",91Load_Backdoor_NoiseScale_0p0_Secure
SoftDenseMoE,0.004082438535988331,0.06389396637678146,0.03195377439260483,9.93695592880249,0.892748399214311,0,2,3,user5,3,C03,17-6-12-19-3,17,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",91Load_Backdoor_NoiseScale_0p0_Secure
MLP,0.015414468944072723,0.12415502220392227,0.07934491336345673,6.595113277435303,0.2819041583849036,0,2,5,user1,4,C04,5-18-2-14-9,5,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",91Load_Backdoor_NoiseScale_0p0_Secure
SoftDenseMoE,0.015796776860952377,0.12568522989749908,0.08173686265945435,11.35688328742981,0.9359007279078165,0,2,5,user1,4,C04,5-18-2-14-9,5,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",91Load_Backdoor_NoiseScale_0p0_Secure
MLP,0.016965828835964203,0.13025294244289398,0.08949041366577148,12.588261842727661,0.24875327110290527,0,2,18,user2,4,C04,5-18-2-14-9,5,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",91Load_Backdoor_NoiseScale_0p0_Secure
SoftDenseMoE,0.01676155999302864,0.1294664442539215,0.08765894174575806,43.24477791786194,0.8621951007843017,0,2,18,user2,4,C04,5-18-2-14-9,5,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",91Load_Backdoor_NoiseScale_0p0_Secure
MLP,0.013001149520277977,0.11402258276939392,0.06004292517900467,7.920328378677368,0.2599165916442871,0,2,2,user3,4,C04,5-18-2-14-9,5,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",91Load_Backdoor_NoiseScale_0p0_Secure
SoftDenseMoE,0.01327412761747837,0.11521340161561966,0.06226631999015808,27.973164319992065,0.8696290627121925,0,2,2,user3,4,C04,5-18-2-14-9,5,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",91Load_Backdoor_NoiseScale_0p0_Secure
MLP,0.009708921425044537,0.09853386133909225,0.05648025870323181,5.85752534866333,0.24781056072400964,0,2,14,user4,4,C04,5-18-2-14-9,5,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",91Load_Backdoor_NoiseScale_0p0_Secure
SoftDenseMoE,0.01040893979370594,0.10202421247959137,0.057058464735746384,10.456452369689941,0.9387845993041992,0,2,14,user4,4,C04,5-18-2-14-9,5,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",91Load_Backdoor_NoiseScale_0p0_Secure
MLP,0.011114433407783508,0.10542501509189606,0.05479343608021736,12.501808881759644,0.25762327512105304,0,2,9,user5,4,C04,5-18-2-14-9,5,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",91Load_Backdoor_NoiseScale_0p0_Secure
SoftDenseMoE,0.012137066572904587,0.11016835272312164,0.055982060730457306,44.103293895721436,0.8786503648757935,0,2,9,user5,4,C04,5-18-2-14-9,5,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",91Load_Backdoor_NoiseScale_0p0_Secure
