architecture,mse,rmse,mae,train_time,avg_time_epoch,round,fed_round,building,user_key,cluster_index,cluster_id,cluster_buildings,poisoned_building,attack_type,attack_details,attack,experiment
MLP,0.015549464151263237,0.1246974915266037,0.11486230045557022,0.0,0.0,0,2,16,user1,1,C01,16-10,16,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_Attack
SoftDenseMoE,0.01857570931315422,0.1362927407026291,0.1171780601143837,0.0,0.0,0,2,16,user1,1,C01,16-10,16,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_Attack
MLP,0.03481117635965347,0.18657752871513367,0.14443357288837433,0.0,0.0,0,2,10,user2,1,C01,16-10,16,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_Attack
SoftDenseMoE,0.03325420990586281,0.18235737085342407,0.14162251353263855,0.0,0.0,0,2,10,user2,1,C01,16-10,16,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_Attack
MLP,0.019318971782922745,0.13899269700050354,0.06567439436912537,0.0,0.0,0,2,15,user1,2,C02,15-8,15,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_Attack
SoftDenseMoE,0.01915626972913742,0.1384061723947525,0.07254578918218613,0.0,0.0,0,2,15,user1,2,C02,15-8,15,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_Attack
MLP,0.01929406262934208,0.13890306651592255,0.09308724105358124,0.0,0.0,0,2,8,user2,2,C02,15-8,15,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_Attack
SoftDenseMoE,0.01657440885901451,0.12874163687229156,0.08619363605976105,0.0,0.0,0,2,8,user2,2,C02,15-8,15,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_Attack
MLP,0.01748688891530037,0.1322380006313324,0.12125486135482788,0.0,0.0,0,2,13,user1,3,C03,13-11,13,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_Attack
SoftDenseMoE,0.010454458184540272,0.10224704444408417,0.09277377277612686,0.0,0.0,0,2,13,user1,3,C03,13-11,13,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_Attack
MLP,0.0154731972143054,0.12439130991697311,0.11326805502176285,0.0,0.0,0,2,11,user2,3,C03,13-11,13,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_Attack
SoftDenseMoE,0.009225338697433472,0.09604862332344055,0.08588593453168869,0.0,0.0,0,2,11,user2,3,C03,13-11,13,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_Attack
MLP,0.016823673620820045,0.12970609962940216,0.061788540333509445,0.0,0.0,0,2,7,user1,4,C04,7-20,7,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_Attack
SoftDenseMoE,0.018616700544953346,0.13644303381443024,0.07912655174732208,0.0,0.0,0,2,7,user1,4,C04,7-20,7,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_Attack
MLP,0.014997003600001335,0.12246225029230118,0.0793556496500969,0.0,0.0,0,2,20,user2,4,C04,7-20,7,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_Attack
SoftDenseMoE,0.01669454202055931,0.12920735776424408,0.09386850148439407,0.0,0.0,0,2,20,user2,4,C04,7-20,7,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_Attack
MLP,0.014233725145459175,0.11930517852306366,0.070386603474617,0.0,0.0,0,2,4,user1,5,C05,4-1,4,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_Attack
SoftDenseMoE,0.013981012627482414,0.1182413324713707,0.0743822529911995,0.0,0.0,0,2,4,user1,5,C05,4-1,4,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_Attack
MLP,0.022586701437830925,0.15028873085975647,0.09891153872013092,0.0,0.0,0,2,1,user2,5,C05,4-1,4,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_Attack
SoftDenseMoE,0.024534864351153374,0.1566360890865326,0.10400266945362091,0.0,0.0,0,2,1,user2,5,C05,4-1,4,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_Attack
MLP,0.010115000419318676,0.10057336091995239,0.07230167090892792,0.0,0.0,0,2,17,user1,6,C06,17-6,17,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_Attack
SoftDenseMoE,0.010251316241919994,0.10124878585338593,0.06847037374973297,0.0,0.0,0,2,17,user1,6,C06,17-6,17,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_Attack
MLP,0.019818667322397232,0.1407787948846817,0.09019285440444946,0.0,0.0,0,2,6,user2,6,C06,17-6,17,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_Attack
SoftDenseMoE,0.017882542684674263,0.1337256282567978,0.0867147371172905,0.0,0.0,0,2,6,user2,6,C06,17-6,17,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_Attack
MLP,0.010461010970175266,0.10227908194065094,0.08914051204919815,0.0,0.0,0,2,12,user1,7,C07,12-19,12,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_Attack
SoftDenseMoE,0.008295719511806965,0.09108083695173264,0.08118678629398346,0.0,0.0,0,2,12,user1,7,C07,12-19,12,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_Attack
MLP,0.014705431647598743,0.1212659552693367,0.10080249607563019,0.0,0.0,0,2,19,user2,7,C07,12-19,12,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_Attack
SoftDenseMoE,0.012831208296120167,0.11327492445707321,0.09673406928777695,0.0,0.0,0,2,19,user2,7,C07,12-19,12,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_Attack
MLP,0.006004449911415577,0.07748838514089584,0.034020792692899704,0.0,0.0,0,2,3,user1,8,C08,3-5,3,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_Attack
SoftDenseMoE,0.005716043058782816,0.07560452073812485,0.03776378557085991,0.0,0.0,0,2,3,user1,8,C08,3-5,3,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_Attack
MLP,0.028817642480134964,0.16975760459899902,0.10850366204977036,0.0,0.0,0,2,5,user2,8,C08,3-5,3,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_Attack
SoftDenseMoE,0.028223950415849686,0.16799984872341156,0.10902818292379379,0.0,0.0,0,2,5,user2,8,C08,3-5,3,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_Attack
MLP,0.022780124098062515,0.15093085169792175,0.08501476049423218,0.0,0.0,0,2,18,user1,9,C09,18-2,18,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_Attack
SoftDenseMoE,0.0227385014295578,0.1507929116487503,0.0836610347032547,0.0,0.0,0,2,18,user1,9,C09,18-2,18,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_Attack
MLP,0.01610000617802143,0.1268858015537262,0.06291984766721725,0.0,0.0,0,2,2,user2,9,C09,18-2,18,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_Attack
SoftDenseMoE,0.01560432929545641,0.12491729110479355,0.06240640953183174,0.0,0.0,0,2,2,user2,9,C09,18-2,18,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_Attack
MLP,0.014863284304738045,0.1219150722026825,0.06775659322738647,0.0,0.0,0,2,14,user1,10,C10,14-9,14,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_Attack
SoftDenseMoE,0.014461711049079895,0.12025685608386993,0.06731747835874557,0.0,0.0,0,2,14,user1,10,C10,14-9,14,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_Attack
MLP,0.0162071380764246,0.1273072510957718,0.06442981213331223,0.0,0.0,0,2,9,user2,10,C10,14-9,14,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_Attack
SoftDenseMoE,0.015498243272304535,0.12449193745851517,0.0635773167014122,0.0,0.0,0,2,9,user2,10,C10,14-9,14,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_Attack
