architecture,mse,rmse,mae,train_time,avg_time_epoch,round,fed_round,building,user_key,cluster_index,cluster_id,cluster_buildings,poisoned_building,attack_type,attack_details,attack,experiment
MLP,0.06924992799758911,0.2631538212299347,0.25768953561782837,20.66543936729431,0.8508191605408987,0,2,16,user1,1,C01,16-10,16,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_LocalRetraining
SoftDenseMoE,0.06559939682483673,0.25612378120422363,0.24425876140594482,50.40207290649414,4.545117074793035,0,2,16,user1,1,C01,16-10,16,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_LocalRetraining
MLP,0.016173696145415306,0.12717585265636444,0.0677686557173729,23.25460934638977,1.0016005039215088,0,2,10,user2,1,C01,16-10,16,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_LocalRetraining
SoftDenseMoE,0.017077384516596794,0.13068047165870667,0.07267982512712479,197.40647768974304,3.940091123580933,0,2,10,user2,1,C01,16-10,16,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_LocalRetraining
MLP,0.014948390424251556,0.12226361036300659,0.06151119992136955,14.733904600143433,0.9106834679841995,0,2,15,user1,2,C02,15-8,15,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_LocalRetraining
SoftDenseMoE,0.029576817527413368,0.1719791144132614,0.11309100687503815,63.248213052749634,4.190357128779094,0,2,15,user1,2,C02,15-8,15,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_LocalRetraining
MLP,0.009394912049174309,0.09692735224962234,0.0656769871711731,44.87543177604675,0.8909325265884399,0,2,8,user2,2,C02,15-8,15,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_LocalRetraining
SoftDenseMoE,0.010288074612617493,0.10143014788627625,0.06849601119756699,222.27302765846252,4.436864476203919,0,2,8,user2,2,C02,15-8,15,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_LocalRetraining
MLP,0.052313994616270065,0.22872252762317657,0.21596376597881317,11.692829132080078,1.050719521262429,0,2,13,user1,3,C03,13-11,13,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_LocalRetraining
SoftDenseMoE,0.06578652560710907,0.2564888298511505,0.2478903979063034,59.93044447898865,4.577897732074444,0,2,13,user1,3,C03,13-11,13,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_LocalRetraining
MLP,0.003890182124450803,0.06237132474780083,0.041945748031139374,41.464266538619995,0.8235900259017944,0,2,11,user2,3,C03,13-11,13,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_LocalRetraining
SoftDenseMoE,0.003955204971134663,0.0628904178738594,0.041948869824409485,214.68358755111694,4.284857668876648,0,2,11,user2,3,C03,13-11,13,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_LocalRetraining
MLP,0.020759345963597298,0.14408104121685028,0.07866144180297852,14.502041339874268,1.0229369912828719,0,2,7,user1,4,C04,7-20,7,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_LocalRetraining
SoftDenseMoE,0.08227969706058502,0.2868443727493286,0.256780743598938,102.67313551902771,4.864164954140072,0,2,7,user1,4,C04,7-20,7,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_LocalRetraining
MLP,0.004432498477399349,0.0665770098567009,0.037435274571180344,37.625364780426025,1.068388421194894,0,2,20,user2,4,C04,7-20,7,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_LocalRetraining
SoftDenseMoE,0.004514880944043398,0.06719286739826202,0.037779685109853745,222.43057203292847,4.439780550003052,0,2,20,user2,4,C04,7-20,7,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_LocalRetraining
MLP,0.018330518156290054,0.1353902369737625,0.07967890799045563,14.715415477752686,0.6939787410554432,0,2,4,user1,5,C05,4-1,4,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_LocalRetraining
SoftDenseMoE,0.02283146232366562,0.15110082924365997,0.10480646044015884,62.4184775352478,3.8798587322235107,0,2,4,user1,5,C05,4-1,4,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_LocalRetraining
MLP,0.01628861390054226,0.12762685120105743,0.08876688033342361,33.578590631484985,0.8766528493479678,0,2,1,user2,5,C05,4-1,4,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_LocalRetraining
SoftDenseMoE,0.017349371686577797,0.1317170113325119,0.0912117138504982,199.0003695487976,3.9722123527526856,0,2,1,user2,5,C05,4-1,4,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_LocalRetraining
MLP,0.025892892852425575,0.16091269254684448,0.1294434368610382,11.315650224685669,1.0062527006322688,0,2,17,user1,6,C06,17-6,17,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_LocalRetraining
SoftDenseMoE,0.029651254415512085,0.17219538986682892,0.1411389857530594,52.88756728172302,4.766714182767001,0,2,17,user1,6,C06,17-6,17,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_LocalRetraining
MLP,0.013048112392425537,0.11422833800315857,0.07420078665018082,35.554426193237305,0.9061163816696558,0,2,6,user2,6,C06,17-6,17,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_LocalRetraining
SoftDenseMoE,0.014895081520080566,0.12204540520906448,0.07959608733654022,204.42208409309387,4.080706887245178,0,2,6,user2,6,C06,17-6,17,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_LocalRetraining
MLP,0.004678526893258095,0.06839975714683533,0.04490581899881363,17.754207611083984,0.9249654945574308,0,2,12,user1,7,C07,12-19,12,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_LocalRetraining
SoftDenseMoE,0.013461895287036896,0.116025410592556,0.08997949957847595,49.54437446594238,4.472420410676436,0,2,12,user1,7,C07,12-19,12,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_LocalRetraining
MLP,0.005622916854918003,0.07498610764741898,0.03374524787068367,15.288116693496704,0.8900754311505485,0,2,19,user2,7,C07,12-19,12,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_LocalRetraining
SoftDenseMoE,0.0056551797315478325,0.07520093023777008,0.03355306759476662,201.41686964035034,4.021144685745239,0,2,19,user2,7,C07,12-19,12,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_LocalRetraining
MLP,0.012325359508395195,0.11101963371038437,0.07614810764789581,10.49971866607666,0.938901727849787,0,2,3,user1,8,C08,3-5,3,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_LocalRetraining
SoftDenseMoE,0.00888463668525219,0.09425835311412811,0.056665100157260895,45.12853789329529,4.073809905485674,0,2,3,user1,8,C08,3-5,3,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_LocalRetraining
MLP,0.01551499031484127,0.124559186398983,0.08046305179595947,21.550870418548584,0.8918629189332327,0,2,5,user2,8,C08,3-5,3,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_LocalRetraining
SoftDenseMoE,0.015357980504631996,0.12392731755971909,0.08077649772167206,203.24569439888,4.055788006782532,0,2,5,user2,8,C08,3-5,3,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_LocalRetraining
MLP,0.030326854437589645,0.17414607107639313,0.10685791075229645,12.34355902671814,0.9363083105820876,0,2,18,user1,9,C09,18-2,18,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_LocalRetraining
SoftDenseMoE,0.026870030909776688,0.1639208048582077,0.09157265722751617,50.79572010040283,4.587967590852217,0,2,18,user1,9,C09,18-2,18,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_LocalRetraining
MLP,0.01244469452649355,0.1115557923913002,0.06015118211507797,21.827918529510498,0.8662308311462402,0,2,2,user2,9,C09,18-2,18,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_LocalRetraining
SoftDenseMoE,0.012764498591423035,0.11298008263111115,0.062239281833171844,220.1360650062561,4.395516018867493,0,2,2,user2,9,C09,18-2,18,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_LocalRetraining
MLP,0.017485197633504868,0.13223160803318024,0.0750047117471695,10.39003586769104,0.9332283626903187,0,2,14,user1,10,C10,14-9,14,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_LocalRetraining
SoftDenseMoE,0.020632807165384293,0.14364124834537506,0.09099338203668594,54.24566721916199,4.143824118834275,0,2,14,user1,10,C10,14-9,14,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_LocalRetraining
MLP,0.011990869417786598,0.10950282961130142,0.05960506945848465,17.026777029037476,0.7654050371863625,0,2,9,user2,10,C10,14-9,14,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_LocalRetraining
SoftDenseMoE,0.01222405955195427,0.11056246608495712,0.05931699275970459,206.43325328826904,4.12022937297821,0,2,9,user2,10,C10,14-9,14,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_LocalRetraining
