architecture,mse,rmse,mae,train_time,avg_time_epoch,round,fed_round,building,user_key,cluster_index,cluster_id,cluster_buildings,poisoned_building,attack_type,attack_details,attack,experiment
MLP,0.008847149088978767,0.0940592885017395,0.04900489002466202,0.0,0.0,0,2,16,user1,1,C01,16-10,16,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_WeightedSum
SoftDenseMoE,0.009647861123085022,0.09822352975606918,0.06432853639125824,0.0,0.0,0,2,16,user1,1,C01,16-10,16,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_WeightedSum
MLP,0.017031192779541016,0.1305036097764969,0.06782509386539459,0.0,0.0,0,2,10,user2,1,C01,16-10,16,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_WeightedSum
SoftDenseMoE,0.02395150437951088,0.15476273000240326,0.0844159945845604,0.0,0.0,0,2,10,user2,1,C01,16-10,16,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_WeightedSum
MLP,0.022128988057374954,0.1487581580877304,0.07281937450170517,0.0,0.0,0,2,15,user1,2,C02,15-8,15,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_WeightedSum
SoftDenseMoE,0.020101921632885933,0.14178124070167542,0.07416953891515732,0.0,0.0,0,2,15,user1,2,C02,15-8,15,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_WeightedSum
MLP,0.012864941731095314,0.11342372745275497,0.07572983205318451,0.0,0.0,0,2,8,user2,2,C02,15-8,15,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_WeightedSum
SoftDenseMoE,0.013054147362709045,0.11425475031137466,0.07625185698270798,0.0,0.0,0,2,8,user2,2,C02,15-8,15,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_WeightedSum
MLP,0.004440051503479481,0.06663370877504349,0.03611626848578453,0.0,0.0,0,2,13,user1,3,C03,13-11,13,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_WeightedSum
SoftDenseMoE,0.004628291819244623,0.06803154945373535,0.03702469915151596,0.0,0.0,0,2,13,user1,3,C03,13-11,13,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_WeightedSum
MLP,0.006005756091326475,0.07749681174755096,0.0479988195002079,0.0,0.0,0,2,11,user2,3,C03,13-11,13,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_WeightedSum
SoftDenseMoE,0.006292389240115881,0.07932458072900772,0.048869598656892776,0.0,0.0,0,2,11,user2,3,C03,13-11,13,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_WeightedSum
MLP,0.015528768301010132,0.12461447715759277,0.05647735670208931,0.0,0.0,0,2,7,user1,4,C04,7-20,7,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_WeightedSum
SoftDenseMoE,0.01572418585419655,0.12539611756801605,0.05620984360575676,0.0,0.0,0,2,7,user1,4,C04,7-20,7,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_WeightedSum
MLP,0.006082124076783657,0.07798797637224197,0.04663601517677307,0.0,0.0,0,2,20,user2,4,C04,7-20,7,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_WeightedSum
SoftDenseMoE,0.006103287450969219,0.078123539686203,0.045948781073093414,0.0,0.0,0,2,20,user2,4,C04,7-20,7,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_WeightedSum
MLP,0.01338585652410984,0.11569726467132568,0.07276611030101776,0.0,0.0,0,2,4,user1,5,C05,4-1,4,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_WeightedSum
SoftDenseMoE,0.013957085087895393,0.11814010888338089,0.07424791157245636,0.0,0.0,0,2,4,user1,5,C05,4-1,4,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_WeightedSum
MLP,0.025408795103430748,0.15940137207508087,0.10633297264575958,0.0,0.0,0,2,1,user2,5,C05,4-1,4,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_WeightedSum
SoftDenseMoE,0.024882815778255463,0.15774287283420563,0.11007638275623322,0.0,0.0,0,2,1,user2,5,C05,4-1,4,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_WeightedSum
MLP,0.012860968708992004,0.1134062111377716,0.06606962531805038,0.0,0.0,0,2,17,user1,6,C06,17-6,17,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_WeightedSum
SoftDenseMoE,0.009824238717556,0.09911730140447617,0.06654541939496994,0.0,0.0,0,2,17,user1,6,C06,17-6,17,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_WeightedSum
MLP,0.014110004529356956,0.11878553777933121,0.07490341365337372,0.0,0.0,0,2,6,user2,6,C06,17-6,17,poison,"mode=gan, epsilon=0.3, lambda_reg=0.0001","poison(mode=gan, epsilon=0.3, lambda_reg=0.0001)",91Load_Poison_GanScale_0p3_WeightedSum
