architecture,mse,rmse,mae,train_time,avg_time_epoch,round,fed_round,building,user_key,cluster_index,cluster_id,cluster_buildings,poisoned_building,attack_type,attack_details,attack,experiment
MLP,0.23920902609825134,0.4890899956226349,0.4848935604095459,19.065195322036743,0.37895352840423585,0,2,16,user1,1,C01,16-10-15-8-13,16,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",91Load_Poison_GanScale_0p6_Secure
SoftDenseMoE,0.09882588684558868,0.31436583399772644,0.30329081416130066,19.63388705253601,1.7715831886638294,0,2,16,user1,1,C01,16-10-15-8-13,16,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",91Load_Poison_GanScale_0p6_Secure
MLP,0.017500251531600952,0.13228851556777954,0.07068479061126709,12.998676300048828,0.4029153734445572,0,2,10,user2,1,C01,16-10-15-8-13,16,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",91Load_Poison_GanScale_0p6_Secure
SoftDenseMoE,0.01858486607670784,0.13632632791996002,0.07298708707094193,88.6285285949707,1.7688069677352904,0,2,10,user2,1,C01,16-10-15-8-13,16,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",91Load_Poison_GanScale_0p6_Secure
MLP,0.010665498673915863,0.1032738983631134,0.06244620680809021,20.381906270980835,0.4051079225540161,0,2,15,user3,1,C01,16-10-15-8-13,16,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",91Load_Poison_GanScale_0p6_Secure
SoftDenseMoE,0.012198039330542088,0.11044473201036453,0.06912941485643387,88.46897530555725,1.765710048675537,0,2,15,user3,1,C01,16-10-15-8-13,16,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",91Load_Poison_GanScale_0p6_Secure
MLP,0.009732487611472607,0.09865336865186691,0.0675056129693985,11.236522674560547,0.41241160145512334,0,2,8,user4,1,C01,16-10-15-8-13,16,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",91Load_Poison_GanScale_0p6_Secure
SoftDenseMoE,0.0101849976927042,0.10092075169086456,0.06872566044330597,89.36935997009277,1.783472514152527,0,2,8,user4,1,C01,16-10-15-8-13,16,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",91Load_Poison_GanScale_0p6_Secure
MLP,0.0030256365425884724,0.05500578507781029,0.02998608723282814,7.622009754180908,0.41825417677561444,0,2,13,user5,1,C01,16-10-15-8-13,16,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",91Load_Poison_GanScale_0p6_Secure
SoftDenseMoE,0.0029560343828052282,0.054369423538446426,0.028591349720954895,69.80948257446289,2.1759265810251236,0,2,13,user5,1,C01,16-10-15-8-13,16,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",91Load_Poison_GanScale_0p6_Secure
MLP,0.016607193276286125,0.12886889278888702,0.08972690999507904,4.973033428192139,0.44388305057178845,0,2,11,user1,2,C02,11-7-20-4-1,11,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",91Load_Poison_GanScale_0p6_Secure
SoftDenseMoE,0.019686292856931686,0.14030784368515015,0.11358102411031723,21.74437952041626,1.9622611782767556,0,2,11,user1,2,C02,11-7-20-4-1,11,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",91Load_Poison_GanScale_0p6_Secure
MLP,0.00723490584641695,0.08505824953317642,0.048004548996686935,20.63437843322754,0.4102209806442261,0,2,7,user2,2,C02,11-7-20-4-1,11,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",91Load_Poison_GanScale_0p6_Secure
