architecture,mse,rmse,mae,train_time,avg_time_epoch,round,fed_round,building,user_key,cluster_index,cluster_id,cluster_buildings,poisoned_building,attack_type,attack_details,attack,experiment
MLP,0.003657191526144743,0.06047471985220909,0.0310814268887043,40.55799150466919,0.8016241861849415,0,2,16,user1,1,C01,16-10,16,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",91Load_Poison_NoiseScale_0p0_LocalRetraining
SoftDenseMoE,0.003896556096151471,0.06242240220308304,0.03405972570180893,137.3633668422699,2.7302823495864867,0,2,16,user1,1,C01,16-10,16,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",91Load_Poison_NoiseScale_0p0_LocalRetraining
MLP,0.01595243252813816,0.12630294263362885,0.0669718086719513,43.25262951850891,1.121592038556149,0,2,10,user2,1,C01,16-10,16,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",91Load_Poison_NoiseScale_0p0_LocalRetraining
SoftDenseMoE,0.01711362414062023,0.13081905245780945,0.07080806791782379,117.5663104057312,2.3340369415283204,0,2,10,user2,1,C01,16-10,16,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",91Load_Poison_NoiseScale_0p0_LocalRetraining
MLP,0.011335626244544983,0.10646890103816986,0.06267885118722916,42.40990495681763,1.2979856505990028,0,2,15,user1,2,C02,15-8,15,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",91Load_Poison_NoiseScale_0p0_LocalRetraining
SoftDenseMoE,0.011615501716732979,0.1077752336859703,0.06348192691802979,126.5652105808258,2.516160545349121,0,2,15,user1,2,C02,15-8,15,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",91Load_Poison_NoiseScale_0p0_LocalRetraining
MLP,0.009425269439816475,0.09708382934331894,0.06635288894176483,49.194983959198,0.9726381063461303,0,2,8,user2,2,C02,15-8,15,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",91Load_Poison_NoiseScale_0p0_LocalRetraining
SoftDenseMoE,0.010079508647322655,0.10039675980806351,0.0682014524936676,118.00006318092346,2.345056619644165,0,2,8,user2,2,C02,15-8,15,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",91Load_Poison_NoiseScale_0p0_LocalRetraining
MLP,0.00296980794519186,0.05449594557285309,0.029002871364355087,32.313854455947876,1.0015528574585915,0,2,13,user1,3,C03,13-11,13,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",91Load_Poison_NoiseScale_0p0_LocalRetraining
SoftDenseMoE,0.002935201395303011,0.05417750030755997,0.028217514976859093,126.04377436637878,3.0581593280885278,0,2,13,user1,3,C03,13-11,13,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",91Load_Poison_NoiseScale_0p0_LocalRetraining
MLP,0.0039925891906023026,0.06318693608045578,0.04333983734250069,37.70524787902832,0.7437613534927369,0,2,11,user2,3,C03,13-11,13,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",91Load_Poison_NoiseScale_0p0_LocalRetraining
SoftDenseMoE,0.003894892055541277,0.06240906938910484,0.039773549884557724,120.23848176002502,3.1528811141064295,0,2,11,user2,3,C03,13-11,13,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",91Load_Poison_NoiseScale_0p0_LocalRetraining
MLP,0.006700670812278986,0.08185762166976929,0.043956927955150604,55.71670722961426,1.537738369570838,0,2,7,user1,4,C04,7-20,7,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",91Load_Poison_NoiseScale_0p0_LocalRetraining
SoftDenseMoE,0.007141923997551203,0.08450990170240402,0.045420609414577484,126.95210194587708,2.522736892700195,0,2,7,user1,4,C04,7-20,7,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",91Load_Poison_NoiseScale_0p0_LocalRetraining
MLP,0.0044483281672000885,0.06669578701257706,0.03723534941673279,47.01478028297424,0.9355945682525635,0,2,20,user2,4,C04,7-20,7,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",91Load_Poison_NoiseScale_0p0_LocalRetraining
SoftDenseMoE,0.004289467353373766,0.06549402326345444,0.03643224388360977,63.36623668670654,1.4042051315307618,0,2,20,user2,4,C04,7-20,7,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",91Load_Poison_NoiseScale_0p0_LocalRetraining
MLP,0.008773809298872948,0.0936686173081398,0.04916393756866455,20.74918293952942,0.756002214219835,0,2,4,user1,5,C05,4-1,4,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",91Load_Poison_NoiseScale_0p0_LocalRetraining
SoftDenseMoE,0.008378292433917522,0.09153301268815994,0.04864721745252609,110.81489038467407,2.203733034133911,0,2,4,user1,5,C05,4-1,4,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",91Load_Poison_NoiseScale_0p0_LocalRetraining
MLP,0.016403596848249435,0.12807652354240417,0.08911003172397614,39.611168384552,0.8756471210055881,0,2,1,user2,5,C05,4-1,4,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",91Load_Poison_NoiseScale_0p0_LocalRetraining
SoftDenseMoE,0.016793373972177505,0.12958924472332,0.09023778140544891,116.75623941421509,2.3200218868255615,0,2,1,user2,5,C05,4-1,4,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",91Load_Poison_NoiseScale_0p0_LocalRetraining
MLP,0.0042566945776343346,0.06524334847927094,0.04204064980149269,16.90812873840332,0.3337214422225952,0,2,17,user1,6,C06,17-6,17,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",91Load_Poison_NoiseScale_0p0_LocalRetraining
SoftDenseMoE,0.00447533605620265,0.06689795106649399,0.04276284575462341,108.62707209587097,2.164378409385681,0,2,17,user1,6,C06,17-6,17,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",91Load_Poison_NoiseScale_0p0_LocalRetraining
MLP,0.01303759403526783,0.11418228596448898,0.0739843100309372,12.04566764831543,0.5329327474940907,0,2,6,user2,6,C06,17-6,17,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",91Load_Poison_NoiseScale_0p0_LocalRetraining
SoftDenseMoE,0.015032517723739147,0.12260717153549194,0.07856098562479019,127.92308712005615,2.5446561431884764,0,2,6,user2,6,C06,17-6,17,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",91Load_Poison_NoiseScale_0p0_LocalRetraining
MLP,0.0023718304000794888,0.048701442778110504,0.034077949821949005,10.029469013214111,0.4887740731239319,0,2,12,user1,7,C07,12-19,12,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",91Load_Poison_NoiseScale_0p0_LocalRetraining
SoftDenseMoE,0.0022340354043990374,0.047265585511922836,0.031395696103572845,38.213326930999756,2.6925006934574673,0,2,12,user1,7,C07,12-19,12,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",91Load_Poison_NoiseScale_0p0_LocalRetraining
MLP,0.005639324896037579,0.07509543746709824,0.03358488529920578,10.862996816635132,0.9517176368019797,0,2,19,user2,7,C07,12-19,12,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",91Load_Poison_NoiseScale_0p0_LocalRetraining
SoftDenseMoE,0.005662164650857449,0.07524735480546951,0.03287220001220703,49.31067419052124,3.0603497326374054,0,2,19,user2,7,C07,12-19,12,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",91Load_Poison_NoiseScale_0p0_LocalRetraining
MLP,0.004134616814553738,0.06430098414421082,0.03456481173634529,12.870151996612549,1.131627689708363,0,2,3,user1,8,C08,3-5,3,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",91Load_Poison_NoiseScale_0p0_LocalRetraining
SoftDenseMoE,0.004628383554518223,0.06803222745656967,0.03735903650522232,45.55959129333496,4.006085504185069,0,2,3,user1,8,C08,3-5,3,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",91Load_Poison_NoiseScale_0p0_LocalRetraining
MLP,0.015381922945380211,0.12402387708425522,0.08051911741495132,7.336016654968262,0.5952456196149191,0,2,5,user2,8,C08,3-5,3,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",91Load_Poison_NoiseScale_0p0_LocalRetraining
SoftDenseMoE,0.015965092927217484,0.12635305523872375,0.08421985059976578,25.94963550567627,2.3306835781444204,0,2,5,user2,8,C08,3-5,3,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",91Load_Poison_NoiseScale_0p0_LocalRetraining
MLP,0.016935158520936966,0.13013514876365662,0.08788365870714188,25.24424910545349,0.5000462436676025,0,2,18,user1,9,C09,18-2,18,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",91Load_Poison_NoiseScale_0p0_LocalRetraining
SoftDenseMoE,0.016615962609648705,0.12890291213989258,0.08616933971643448,115.88308787345886,2.294550366401672,0,2,18,user1,9,C09,18-2,18,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",91Load_Poison_NoiseScale_0p0_LocalRetraining
MLP,0.012803787365555763,0.11315382272005081,0.06219727545976639,15.092748403549194,0.9859714190165202,0,2,2,user2,9,C09,18-2,18,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",91Load_Poison_NoiseScale_0p0_LocalRetraining
SoftDenseMoE,0.013046440668404102,0.1142210140824318,0.06303123384714127,61.31797194480896,2.767173398624767,0,2,2,user2,9,C09,18-2,18,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",91Load_Poison_NoiseScale_0p0_LocalRetraining
MLP,0.00984223373234272,0.0992080345749855,0.05658595636487007,19.670589923858643,1.374876550265721,0,2,14,user1,10,C10,14-9,14,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",91Load_Poison_NoiseScale_0p0_LocalRetraining
SoftDenseMoE,0.010116412304341793,0.1005803793668747,0.05744999647140503,46.579065799713135,4.132842258973555,0,2,14,user1,10,C10,14-9,14,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",91Load_Poison_NoiseScale_0p0_LocalRetraining
MLP,0.011464554816484451,0.10707265883684158,0.05834560841321945,17.345274925231934,0.8969539717624062,0,2,9,user2,10,C10,14-9,14,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",91Load_Poison_NoiseScale_0p0_LocalRetraining
SoftDenseMoE,0.011211195960640907,0.10588293522596359,0.05688299611210823,112.32865810394287,2.236127643585205,0,2,9,user2,10,C10,14-9,14,poison,"mode=noise, distribution=uniform, scale=0.0","poison(mode=noise, distribution=uniform, scale=0.0)",91Load_Poison_NoiseScale_0p0_LocalRetraining
