architecture,mse,rmse,mae,train_time,avg_time_epoch,round,fed_round,building,user_key,cluster_index,cluster_id,cluster_buildings,poisoned_building,attack_type,attack_details,attack,experiment
MLP,0.005870455875992775,0.07661890238523483,0.052517324686050415,0.0,0.0,0,2,16,user1,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",91Load_Poison_NoiseScale_0p3_Clustering
SoftDenseMoE,0.006548589561134577,0.08092335611581802,0.0547933392226696,0.0,0.0,0,2,16,user1,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",91Load_Poison_NoiseScale_0p3_Clustering
MLP,0.024749528616666794,0.1573198288679123,0.08409175276756287,0.0,0.0,0,2,10,user2,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",91Load_Poison_NoiseScale_0p3_Clustering
SoftDenseMoE,0.023423101752996445,0.15304607152938843,0.08238549530506134,0.0,0.0,0,2,10,user2,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",91Load_Poison_NoiseScale_0p3_Clustering
MLP,0.01807977259159088,0.13446104526519775,0.0733887106180191,0.0,0.0,0,2,15,user3,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",91Load_Poison_NoiseScale_0p3_Clustering
SoftDenseMoE,0.01739424467086792,0.13188724219799042,0.07349181920289993,0.0,0.0,0,2,15,user3,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",91Load_Poison_NoiseScale_0p3_Clustering
MLP,0.01412864588201046,0.11886397749185562,0.08008534461259842,0.0,0.0,0,2,8,user4,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",91Load_Poison_NoiseScale_0p3_Clustering
SoftDenseMoE,0.01338608842343092,0.11569826304912567,0.07855774462223053,0.0,0.0,0,2,8,user4,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",91Load_Poison_NoiseScale_0p3_Clustering
MLP,0.004635394550859928,0.0680837333202362,0.047002144157886505,0.0,0.0,0,2,13,user5,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",91Load_Poison_NoiseScale_0p3_Clustering
SoftDenseMoE,0.005300154443830252,0.07280215620994568,0.0495118722319603,0.0,0.0,0,2,13,user5,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",91Load_Poison_NoiseScale_0p3_Clustering
MLP,0.006023131776601076,0.07760883867740631,0.05798008292913437,0.0,0.0,0,2,11,user1,2,C02,11-7-20-4-1,11,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",91Load_Poison_NoiseScale_0p3_Clustering
SoftDenseMoE,0.006839381996542215,0.08270055800676346,0.06143404170870781,0.0,0.0,0,2,11,user1,2,C02,11-7-20-4-1,11,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",91Load_Poison_NoiseScale_0p3_Clustering
MLP,0.012760063633322716,0.11296045035123825,0.06228112056851387,0.0,0.0,0,2,7,user2,2,C02,11-7-20-4-1,11,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",91Load_Poison_NoiseScale_0p3_Clustering
SoftDenseMoE,0.013101616874337196,0.11446229368448257,0.06205736845731735,0.0,0.0,0,2,7,user2,2,C02,11-7-20-4-1,11,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",91Load_Poison_NoiseScale_0p3_Clustering
MLP,0.009060436859726906,0.09518633037805557,0.06458581984043121,0.0,0.0,0,2,20,user3,2,C02,11-7-20-4-1,11,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",91Load_Poison_NoiseScale_0p3_Clustering
SoftDenseMoE,0.008960791863501072,0.09466145932674408,0.06271086633205414,0.0,0.0,0,2,20,user3,2,C02,11-7-20-4-1,11,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",91Load_Poison_NoiseScale_0p3_Clustering
MLP,0.0131851676851511,0.11482668668031693,0.0644950345158577,0.0,0.0,0,2,4,user4,2,C02,11-7-20-4-1,11,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",91Load_Poison_NoiseScale_0p3_Clustering
SoftDenseMoE,0.01178566925227642,0.10856182128190994,0.05952458456158638,0.0,0.0,0,2,4,user4,2,C02,11-7-20-4-1,11,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",91Load_Poison_NoiseScale_0p3_Clustering
MLP,0.025793278589844704,0.1606028527021408,0.10873550176620483,0.0,0.0,0,2,1,user5,2,C02,11-7-20-4-1,11,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",91Load_Poison_NoiseScale_0p3_Clustering
