architecture,mse,rmse,mae,train_time,avg_time_epoch,round,fed_round,building,user_key,cluster_index,cluster_id,cluster_buildings,poisoned_building,attack_type,attack_details,attack,experiment
MLP,0.013374204747378826,0.11564689874649048,0.09945947676897049,3.848724842071533,0.34157297827980737,0,2,16,user1,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",91Load_Poison_NoiseScale_0p6_Secure
SoftDenseMoE,0.008622180670499802,0.09285569936037064,0.06924503296613693,14.021373271942139,1.2627964236519553,0,2,16,user1,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",91Load_Poison_NoiseScale_0p6_Secure
MLP,0.01638059690594673,0.12798669934272766,0.06579595059156418,14.807435035705566,0.2936547613143921,0,2,10,user2,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",91Load_Poison_NoiseScale_0p6_Secure
SoftDenseMoE,0.021750908344984055,0.14748188853263855,0.07936754077672958,58.60012149810791,1.168729591369629,0,2,10,user2,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",91Load_Poison_NoiseScale_0p6_Secure
MLP,0.010627353563904762,0.10308905690908432,0.06306032836437225,14.977092266082764,0.29713332176208496,0,2,15,user3,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",91Load_Poison_NoiseScale_0p6_Secure
SoftDenseMoE,0.013199803419411182,0.11489039659500122,0.07219807803630829,55.7826669216156,1.1126251554489135,0,2,15,user3,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",91Load_Poison_NoiseScale_0p6_Secure
MLP,0.010053188540041447,0.10026559233665466,0.06899596750736237,7.632165193557739,0.27924731925681784,0,2,8,user4,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",91Load_Poison_NoiseScale_0p6_Secure
SoftDenseMoE,0.010764244943857193,0.10375087708234787,0.06990798562765121,56.98317790031433,1.1363592863082885,0,2,8,user4,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",91Load_Poison_NoiseScale_0p6_Secure
MLP,0.0030780876986682415,0.05548051744699478,0.029735499992966652,4.335295677185059,0.326450201181265,0,2,13,user5,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",91Load_Poison_NoiseScale_0p6_Secure
SoftDenseMoE,0.0029974260833114386,0.05474875494837761,0.029409751296043396,54.00165367126465,1.145488272321985,0,2,13,user5,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",91Load_Poison_NoiseScale_0p6_Secure
MLP,0.0066118398681283,0.08131322264671326,0.06266135722398758,7.971369028091431,0.30281224617591274,0,2,11,user1,2,C02,11-7-20-4-1,11,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",91Load_Poison_NoiseScale_0p6_Secure
SoftDenseMoE,0.006655649282038212,0.08158216625452042,0.05842874199151993,58.33139753341675,1.1633417224884033,0,2,11,user1,2,C02,11-7-20-4-1,11,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",91Load_Poison_NoiseScale_0p6_Secure
MLP,0.00694549735635519,0.08333965390920639,0.04626408591866493,14.962154388427734,0.2967341661453247,0,2,7,user2,2,C02,11-7-20-4-1,11,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",91Load_Poison_NoiseScale_0p6_Secure
SoftDenseMoE,0.008051581680774689,0.08973060548305511,0.04933451861143112,57.26016354560852,1.142031922340393,0,2,7,user2,2,C02,11-7-20-4-1,11,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",91Load_Poison_NoiseScale_0p6_Secure
MLP,0.004673766437917948,0.0683649480342865,0.03880411013960838,11.354777097702026,0.296036117955258,0,2,20,user3,2,C02,11-7-20-4-1,11,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",91Load_Poison_NoiseScale_0p6_Secure
SoftDenseMoE,0.004770245403051376,0.06906696408987045,0.03945193439722061,36.00444221496582,1.0869721932844683,0,2,20,user3,2,C02,11-7-20-4-1,11,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",91Load_Poison_NoiseScale_0p6_Secure
MLP,0.00825759768486023,0.09087132662534714,0.04698546230792999,14.563235759735107,0.2888837003707886,0,2,4,user4,2,C02,11-7-20-4-1,11,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",91Load_Poison_NoiseScale_0p6_Secure
SoftDenseMoE,0.009585175663232803,0.09790390729904175,0.05461089685559273,57.86562991142273,1.154156994819641,0,2,4,user4,2,C02,11-7-20-4-1,11,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",91Load_Poison_NoiseScale_0p6_Secure
MLP,0.016534408554434776,0.12858618795871735,0.09051734209060669,14.39512038230896,0.2854740524291992,0,2,1,user5,2,C02,11-7-20-4-1,11,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",91Load_Poison_NoiseScale_0p6_Secure
SoftDenseMoE,0.017431650310754776,0.1320289820432663,0.09202919900417328,58.17646408081055,1.1604947090148925,0,2,1,user5,2,C02,11-7-20-4-1,11,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",91Load_Poison_NoiseScale_0p6_Secure
MLP,0.01054751593619585,0.1027010977268219,0.08148593455553055,7.911064863204956,0.312226619720459,0,2,17,user1,3,C03,17-6-12-19-3,17,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",91Load_Poison_NoiseScale_0p6_Secure
