architecture,mse,rmse,mae,train_time,avg_time_epoch,round,fed_round,building,user_key,cluster_index,cluster_id,cluster_buildings,poisoned_building,attack_type,attack_details,attack,experiment
MLP,0.0034932252019643784,0.05910351127386093,0.029238801449537277,0.0,0.0,0,2,16,user1,1,C01,16-10,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",92PV_Backdoor_NoiseScale_0p0_Attack
SoftDenseMoE,0.003548897337168455,0.059572622179985046,0.02861900068819523,0.0,0.0,0,2,16,user1,1,C01,16-10,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",92PV_Backdoor_NoiseScale_0p0_Attack
MLP,0.0066397241316735744,0.08148450404405594,0.03925187885761261,0.0,0.0,0,2,10,user2,1,C01,16-10,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",92PV_Backdoor_NoiseScale_0p0_Attack
SoftDenseMoE,0.006891436874866486,0.08301468193531036,0.03883497416973114,0.0,0.0,0,2,10,user2,1,C01,16-10,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",92PV_Backdoor_NoiseScale_0p0_Attack
MLP,0.008066600188612938,0.08981425315141678,0.04329928755760193,0.0,0.0,0,2,15,user1,2,C02,15-8,15,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",92PV_Backdoor_NoiseScale_0p0_Attack
SoftDenseMoE,0.008292571641504765,0.09106355905532837,0.04374844953417778,0.0,0.0,0,2,15,user1,2,C02,15-8,15,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",92PV_Backdoor_NoiseScale_0p0_Attack
MLP,0.002774253021925688,0.05267117917537689,0.027248278260231018,0.0,0.0,0,2,8,user2,2,C02,15-8,15,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",92PV_Backdoor_NoiseScale_0p0_Attack
SoftDenseMoE,0.0028688302263617516,0.053561463952064514,0.028191784396767616,0.0,0.0,0,2,8,user2,2,C02,15-8,15,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",92PV_Backdoor_NoiseScale_0p0_Attack
MLP,0.0037720135878771544,0.06141671910881996,0.03154635801911354,0.0,0.0,0,2,13,user1,3,C03,13-11,13,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",92PV_Backdoor_NoiseScale_0p0_Attack
SoftDenseMoE,0.004129231907427311,0.06425909698009491,0.03301699087023735,0.0,0.0,0,2,13,user1,3,C03,13-11,13,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",92PV_Backdoor_NoiseScale_0p0_Attack
