architecture,mse,rmse,mae,train_time,avg_time_epoch,round,fed_round,building,user_key,cluster_index,cluster_id,cluster_buildings,poisoned_building,attack_type,attack_details,attack,experiment
MLP,0.00398192647844553,0.06310250610113144,0.03266925364732742,5.254064083099365,0.39288889444791353,0,2,16,user1,1,C01,16-10,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.3","backdoor(mode=noise, start=None, steps=4, noise_scale=0.3)",92PV_Backdoor_NoiseScale_0p3_LocalRetraining
SoftDenseMoE,0.004075598903000355,0.06384041905403137,0.03391587734222412,16.704084634780884,1.5017057548869739,0,2,16,user1,1,C01,16-10,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.3","backdoor(mode=noise, start=None, steps=4, noise_scale=0.3)",92PV_Backdoor_NoiseScale_0p3_LocalRetraining
MLP,0.006330931093543768,0.07956714928150177,0.03597451373934746,17.438188791275024,0.3747418496919715,0,2,10,user2,1,C01,16-10,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.3","backdoor(mode=noise, start=None, steps=4, noise_scale=0.3)",92PV_Backdoor_NoiseScale_0p3_LocalRetraining
SoftDenseMoE,0.006733017973601818,0.0820549726486206,0.037736888974905014,35.26880693435669,1.4015890502929687,0,2,10,user2,1,C01,16-10,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.3","backdoor(mode=noise, start=None, steps=4, noise_scale=0.3)",92PV_Backdoor_NoiseScale_0p3_LocalRetraining
MLP,0.008314921520650387,0.09118618816137314,0.04632434993982315,6.781063079833984,0.4150809049606323,0,2,15,user1,2,C02,15-8,15,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.3","backdoor(mode=noise, start=None, steps=4, noise_scale=0.3)",92PV_Backdoor_NoiseScale_0p3_LocalRetraining
SoftDenseMoE,0.008709540590643883,0.0933249220252037,0.04678375646471977,17.40676975250244,1.4370434681574504,0,2,15,user1,2,C02,15-8,15,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.3","backdoor(mode=noise, start=None, steps=4, noise_scale=0.3)",92PV_Backdoor_NoiseScale_0p3_LocalRetraining
MLP,0.00269964337348938,0.05195809155702591,0.02807425893843174,8.109606742858887,0.3601496761495417,0,2,8,user2,2,C02,15-8,15,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.3","backdoor(mode=noise, start=None, steps=4, noise_scale=0.3)",92PV_Backdoor_NoiseScale_0p3_LocalRetraining
SoftDenseMoE,0.0028170840814709663,0.053076211363077164,0.028194349259138107,40.42334747314453,1.5490728800113385,0,2,8,user2,2,C02,15-8,15,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.3","backdoor(mode=noise, start=None, steps=4, noise_scale=0.3)",92PV_Backdoor_NoiseScale_0p3_LocalRetraining
MLP,0.004756263457238674,0.06896566599607468,0.03656692057847977,8.922045230865479,0.43773573637008667,0,2,13,user1,3,C03,13-11,13,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.3","backdoor(mode=noise, start=None, steps=4, noise_scale=0.3)",92PV_Backdoor_NoiseScale_0p3_LocalRetraining
SoftDenseMoE,0.005038403905928135,0.0709817185997963,0.03878801316022873,18.437973022460938,1.5221834778785706,0,2,13,user1,3,C03,13-11,13,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.3","backdoor(mode=noise, start=None, steps=4, noise_scale=0.3)",92PV_Backdoor_NoiseScale_0p3_LocalRetraining
MLP,0.0028695811051875353,0.05356847122311592,0.02742760442197323,11.775196552276611,0.414696957383837,0,2,11,user2,3,C03,13-11,13,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.3","backdoor(mode=noise, start=None, steps=4, noise_scale=0.3)",92PV_Backdoor_NoiseScale_0p3_LocalRetraining
SoftDenseMoE,0.0029527097940444946,0.05433884263038635,0.027543237432837486,78.93937802314758,1.574318871498108,0,2,11,user2,3,C03,13-11,13,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.3","backdoor(mode=noise, start=None, steps=4, noise_scale=0.3)",92PV_Backdoor_NoiseScale_0p3_LocalRetraining
MLP,0.004846113733947277,0.06961403042078018,0.036735232919454575,9.515782356262207,0.39115660389264423,0,2,7,user1,4,C04,7-20,7,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.3","backdoor(mode=noise, start=None, steps=4, noise_scale=0.3)",92PV_Backdoor_NoiseScale_0p3_LocalRetraining
SoftDenseMoE,0.004830657970160246,0.06950293481349945,0.037431150674819946,20.156845092773438,1.6631818413734436,0,2,7,user1,4,C04,7-20,7,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.3","backdoor(mode=noise, start=None, steps=4, noise_scale=0.3)",92PV_Backdoor_NoiseScale_0p3_LocalRetraining
MLP,0.004736630711704493,0.0688231810927391,0.03583637252449989,10.156465291976929,0.4353541498598845,0,2,20,user2,4,C04,7-20,7,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.3","backdoor(mode=noise, start=None, steps=4, noise_scale=0.3)",92PV_Backdoor_NoiseScale_0p3_LocalRetraining
SoftDenseMoE,0.004676705226302147,0.06838644295930862,0.034065067768096924,80.72459506988525,1.6099329137802123,0,2,20,user2,4,C04,7-20,7,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.3","backdoor(mode=noise, start=None, steps=4, noise_scale=0.3)",92PV_Backdoor_NoiseScale_0p3_LocalRetraining
MLP,0.005905474536120892,0.07684708386659622,0.038535889238119125,6.562203884124756,0.4596293142863682,0,2,4,user1,5,C05,4-1,4,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.3","backdoor(mode=noise, start=None, steps=4, noise_scale=0.3)",92PV_Backdoor_NoiseScale_0p3_LocalRetraining
SoftDenseMoE,0.006369458977133036,0.07980889081954956,0.04351262003183365,19.702890872955322,1.6315558354059856,0,2,4,user1,5,C05,4-1,4,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.3","backdoor(mode=noise, start=None, steps=4, noise_scale=0.3)",92PV_Backdoor_NoiseScale_0p3_LocalRetraining
MLP,0.003899327013641596,0.06244459003210068,0.029483262449502945,8.575976133346558,0.4218148231506348,0,2,1,user2,5,C05,4-1,4,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.3","backdoor(mode=noise, start=None, steps=4, noise_scale=0.3)",92PV_Backdoor_NoiseScale_0p3_LocalRetraining
SoftDenseMoE,0.004525620024651289,0.06727273017168045,0.03511521965265274,65.23590850830078,1.6677122910817463,0,2,1,user2,5,C05,4-1,4,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.3","backdoor(mode=noise, start=None, steps=4, noise_scale=0.3)",92PV_Backdoor_NoiseScale_0p3_LocalRetraining
MLP,0.005551581736654043,0.07450893521308899,0.03864404186606407,8.828033685684204,0.4565125264619526,0,2,17,user1,6,C06,17-6,17,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.3","backdoor(mode=noise, start=None, steps=4, noise_scale=0.3)",92PV_Backdoor_NoiseScale_0p3_LocalRetraining
SoftDenseMoE,0.005893501453101635,0.0767691433429718,0.04021701216697693,23.314385175704956,1.7755701541900635,0,2,17,user1,6,C06,17-6,17,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.3","backdoor(mode=noise, start=None, steps=4, noise_scale=0.3)",92PV_Backdoor_NoiseScale_0p3_LocalRetraining
MLP,0.004315987695008516,0.06569617986679077,0.032257914543151855,11.00032639503479,0.451939990123113,0,2,6,user2,6,C06,17-6,17,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.3","backdoor(mode=noise, start=None, steps=4, noise_scale=0.3)",92PV_Backdoor_NoiseScale_0p3_LocalRetraining
SoftDenseMoE,0.004174824338406324,0.06461288034915924,0.03240443021059036,72.75889420509338,1.6866109093954398,0,2,6,user2,6,C06,17-6,17,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.3","backdoor(mode=noise, start=None, steps=4, noise_scale=0.3)",92PV_Backdoor_NoiseScale_0p3_LocalRetraining
MLP,0.005470828618854284,0.07396505028009415,0.04000701382756233,5.545202732086182,0.49283647537231445,0,2,12,user1,7,C07,12-19,12,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.3","backdoor(mode=noise, start=None, steps=4, noise_scale=0.3)",92PV_Backdoor_NoiseScale_0p3_LocalRetraining
SoftDenseMoE,0.005240763537585735,0.07239311933517456,0.03880549967288971,19.625693321228027,1.764812621203336,0,2,12,user1,7,C07,12-19,12,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.3","backdoor(mode=noise, start=None, steps=4, noise_scale=0.3)",92PV_Backdoor_NoiseScale_0p3_LocalRetraining
MLP,0.004719040356576443,0.06869526952505112,0.03487716242671013,9.29714822769165,0.4577169418334961,0,2,19,user2,7,C07,12-19,12,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.3","backdoor(mode=noise, start=None, steps=4, noise_scale=0.3)",92PV_Backdoor_NoiseScale_0p3_LocalRetraining
SoftDenseMoE,0.004771348088979721,0.06907494366168976,0.03544098511338234,54.017406702041626,1.7930549065272012,0,2,19,user2,7,C07,12-19,12,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.3","backdoor(mode=noise, start=None, steps=4, noise_scale=0.3)",92PV_Backdoor_NoiseScale_0p3_LocalRetraining
MLP,0.00501900352537632,0.07084492594003677,0.037008851766586304,23.01909303665161,0.4560662317276001,0,2,3,user1,8,C08,3-5,3,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.3","backdoor(mode=noise, start=None, steps=4, noise_scale=0.3)",92PV_Backdoor_NoiseScale_0p3_LocalRetraining
SoftDenseMoE,0.004544150549918413,0.06741031259298325,0.03503018245100975,21.019408464431763,1.893146731636741,0,2,3,user1,8,C08,3-5,3,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.3","backdoor(mode=noise, start=None, steps=4, noise_scale=0.3)",92PV_Backdoor_NoiseScale_0p3_LocalRetraining
MLP,0.004491097759455442,0.06701565533876419,0.03267206996679306,17.585991621017456,0.4831197261810303,0,2,5,user2,8,C08,3-5,3,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.3","backdoor(mode=noise, start=None, steps=4, noise_scale=0.3)",92PV_Backdoor_NoiseScale_0p3_LocalRetraining
SoftDenseMoE,0.004636598750948906,0.06809257715940475,0.034233517944812775,76.86360192298889,1.7822285419286683,0,2,5,user2,8,C08,3-5,3,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.3","backdoor(mode=noise, start=None, steps=4, noise_scale=0.3)",92PV_Backdoor_NoiseScale_0p3_LocalRetraining
MLP,0.005406246520578861,0.07352717965841293,0.03992993384599686,11.809133291244507,0.4660281944274902,0,2,18,user1,9,C09,18-2,18,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.3","backdoor(mode=noise, start=None, steps=4, noise_scale=0.3)",92PV_Backdoor_NoiseScale_0p3_LocalRetraining
SoftDenseMoE,0.005558484233915806,0.07455524057149887,0.040820829570293427,35.37947988510132,1.852028683612221,0,2,18,user1,9,C09,18-2,18,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.3","backdoor(mode=noise, start=None, steps=4, noise_scale=0.3)",92PV_Backdoor_NoiseScale_0p3_LocalRetraining
MLP,0.005471853539347649,0.07397197932004929,0.03729286044836044,7.276416778564453,0.47667555809020995,0,2,2,user2,9,C09,18-2,18,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.3","backdoor(mode=noise, start=None, steps=4, noise_scale=0.3)",92PV_Backdoor_NoiseScale_0p3_LocalRetraining
SoftDenseMoE,0.005840913392603397,0.07642586529254913,0.03903024643659592,84.15192532539368,1.8243440648783809,0,2,2,user2,9,C09,18-2,18,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.3","backdoor(mode=noise, start=None, steps=4, noise_scale=0.3)",92PV_Backdoor_NoiseScale_0p3_LocalRetraining
MLP,0.005400874651968479,0.07349064201116562,0.04022055119276047,6.714468717575073,0.47058989320482525,0,2,14,user1,10,C10,14-9,14,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.3","backdoor(mode=noise, start=None, steps=4, noise_scale=0.3)",92PV_Backdoor_NoiseScale_0p3_LocalRetraining
SoftDenseMoE,0.0057144188322126865,0.07559377700090408,0.04175642132759094,25.95767617225647,1.8414287907736642,0,2,14,user1,10,C10,14-9,14,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.3","backdoor(mode=noise, start=None, steps=4, noise_scale=0.3)",92PV_Backdoor_NoiseScale_0p3_LocalRetraining
