architecture,mse,rmse,mae,train_time,avg_time_epoch,round,fed_round,building,user_key,cluster_index,cluster_id,cluster_buildings,poisoned_building,attack_type,attack_details,attack,experiment
MLP,0.004525612574070692,0.06727267056703568,0.039675720036029816,0.0,0.0,0,2,16,user1,1,C01,16-10,16,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",92PV_Poison_GanScale_0p6_WeightedSum
SoftDenseMoE,0.004978592041879892,0.07055913656949997,0.045655328780412674,0.0,0.0,0,2,16,user1,1,C01,16-10,16,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",92PV_Poison_GanScale_0p6_WeightedSum
MLP,0.00746256485581398,0.08638613671064377,0.04569551721215248,0.0,0.0,0,2,10,user2,1,C01,16-10,16,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",92PV_Poison_GanScale_0p6_WeightedSum
SoftDenseMoE,0.007382682058960199,0.08592253178358078,0.04976401850581169,0.0,0.0,0,2,10,user2,1,C01,16-10,16,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",92PV_Poison_GanScale_0p6_WeightedSum
MLP,0.009007821790874004,0.09490954875946045,0.04320848733186722,0.0,0.0,0,2,15,user1,2,C02,15-8,15,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",92PV_Poison_GanScale_0p6_WeightedSum
SoftDenseMoE,0.009898146614432335,0.09948942810297012,0.047236744314432144,0.0,0.0,0,2,15,user1,2,C02,15-8,15,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",92PV_Poison_GanScale_0p6_WeightedSum
MLP,0.003067187499254942,0.055382195860147476,0.027128536254167557,0.0,0.0,0,2,8,user2,2,C02,15-8,15,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",92PV_Poison_GanScale_0p6_WeightedSum
SoftDenseMoE,0.0031089293770492077,0.05575777590274811,0.028747882694005966,0.0,0.0,0,2,8,user2,2,C02,15-8,15,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",92PV_Poison_GanScale_0p6_WeightedSum
MLP,0.003989730030298233,0.06316430866718292,0.03341638296842575,0.0,0.0,0,2,13,user1,3,C03,13-11,13,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",92PV_Poison_GanScale_0p6_WeightedSum
SoftDenseMoE,0.004303297959268093,0.06559952348470688,0.03504236042499542,0.0,0.0,0,2,13,user1,3,C03,13-11,13,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",92PV_Poison_GanScale_0p6_WeightedSum
MLP,0.0028661100659519434,0.0535360649228096,0.026180461049079895,0.0,0.0,0,2,11,user2,3,C03,13-11,13,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",92PV_Poison_GanScale_0p6_WeightedSum
