architecture,mse,rmse,mae,train_time,avg_time_epoch,round,fed_round,building,user_key,cluster_index,cluster_id,cluster_buildings,poisoned_building,attack_type,attack_details,attack,experiment
MLP,0.03781873732805252,0.19447040557861328,0.11034251749515533,8.631521701812744,0.7753868103027344,0,2,16,user1,1,C01,16-10,16,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",92PV_Poison_GanScale_0p9_LocalRetraining
SoftDenseMoE,0.020770814269781113,0.14412082731723785,0.08561153709888458,41.052265882492065,3.710144194689664,0,2,16,user1,1,C01,16-10,16,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",92PV_Poison_GanScale_0p9_LocalRetraining
MLP,0.006372553762048483,0.07982827723026276,0.036271773278713226,18.125181198120117,0.7204728221893311,0,2,10,user2,1,C01,16-10,16,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",92PV_Poison_GanScale_0p9_LocalRetraining
SoftDenseMoE,0.006604661699384451,0.08126907050609589,0.0366828553378582,132.55264115333557,3.5747542059099353,0,2,10,user2,1,C01,16-10,16,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",92PV_Poison_GanScale_0p9_LocalRetraining
MLP,0.0701918751001358,0.26493749022483826,0.18377797305583954,8.837510824203491,0.7940150390971791,0,2,15,user1,2,C02,15-8,15,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",92PV_Poison_GanScale_0p9_LocalRetraining
SoftDenseMoE,0.050067611038684845,0.22375792264938354,0.1228509172797203,56.46495270729065,3.74735647837321,0,2,15,user1,2,C02,15-8,15,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",92PV_Poison_GanScale_0p9_LocalRetraining
MLP,0.0025167246349155903,0.05016696825623512,0.026132604107260704,19.21929931640625,0.7641602516174316,0,2,8,user2,2,C02,15-8,15,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",92PV_Poison_GanScale_0p9_LocalRetraining
SoftDenseMoE,0.002806339180096984,0.0529748909175396,0.027519647032022476,184.17290139198303,3.6778626537322996,0,2,8,user2,2,C02,15-8,15,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",92PV_Poison_GanScale_0p9_LocalRetraining
MLP,0.08970676362514496,0.2995108664035797,0.24966654181480408,8.946448564529419,0.7369318604469299,0,2,13,user1,3,C03,13-11,13,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",92PV_Poison_GanScale_0p9_LocalRetraining
SoftDenseMoE,0.033774036914110184,0.18377713859081268,0.11362291872501373,43.40258288383484,3.9224295399405738,0,2,13,user1,3,C03,13-11,13,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",92PV_Poison_GanScale_0p9_LocalRetraining
MLP,0.0028092586435377598,0.05300243943929672,0.0269134733825922,20.076849937438965,0.7130546995571682,0,2,11,user2,3,C03,13-11,13,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",92PV_Poison_GanScale_0p9_LocalRetraining
SoftDenseMoE,0.002920948201790452,0.054045796394348145,0.027248457074165344,150.50561046600342,3.8519476560445933,0,2,11,user2,3,C03,13-11,13,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",92PV_Poison_GanScale_0p9_LocalRetraining
MLP,0.07179535925388336,0.2679465711116791,0.19466927647590637,8.781609535217285,0.7889366583390669,0,2,7,user1,4,C04,7-20,7,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",92PV_Poison_GanScale_0p9_LocalRetraining
SoftDenseMoE,0.08574216812849045,0.292817622423172,0.2399737536907196,42.58864402770996,3.8484503139149058,0,2,7,user1,4,C04,7-20,7,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",92PV_Poison_GanScale_0p9_LocalRetraining
MLP,0.004629988223314285,0.068044014275074,0.034737225621938705,26.636950492858887,0.7576479094369071,0,2,20,user2,4,C04,7-20,7,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",92PV_Poison_GanScale_0p9_LocalRetraining
