architecture,mse,rmse,mae,train_time,avg_time_epoch,round,fed_round,building,user_key,cluster_index,cluster_id,cluster_buildings,poisoned_building,attack_type,attack_details,attack,experiment
MLP,0.011018854565918446,0.10497073084115982,0.06607483327388763,6.685153484344482,0.5978755950927734,0,2,16,user1,1,C01,16-10-15-8-13,16,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",92PV_Poison_GanScale_0p9_Secure
SoftDenseMoE,0.008111150935292244,0.09006192535161972,0.06217755004763603,31.079736948013306,2.806803963401101,0,2,16,user1,1,C01,16-10-15-8-13,16,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",92PV_Poison_GanScale_0p9_Secure
MLP,0.006257610861212015,0.07910506427288055,0.03374714031815529,27.549021244049072,0.5482917022705078,0,2,10,user2,1,C01,16-10-15-8-13,16,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",92PV_Poison_GanScale_0p9_Secure
SoftDenseMoE,0.0066031538881361485,0.08125979453325272,0.037184882909059525,136.36612010002136,2.722322793006897,0,2,10,user2,1,C01,16-10-15-8-13,16,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",92PV_Poison_GanScale_0p9_Secure
MLP,0.007415299769490957,0.0861121341586113,0.04075784981250763,9.58555555343628,0.5926302671432495,0,2,15,user3,1,C01,16-10-15-8-13,16,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",92PV_Poison_GanScale_0p9_Secure
SoftDenseMoE,0.007841052487492561,0.08854971826076508,0.04106074571609497,81.72532939910889,2.716778874397278,0,2,15,user3,1,C01,16-10-15-8-13,16,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",92PV_Poison_GanScale_0p9_Secure
MLP,0.002681316575035453,0.05178143084049225,0.027938488870859146,11.0507972240448,0.5762270626268888,0,2,8,user4,1,C01,16-10-15-8-13,16,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",92PV_Poison_GanScale_0p9_Secure
SoftDenseMoE,0.002831059042364359,0.05320769548416138,0.028749937191605568,70.7833604812622,2.7137821912765503,0,2,8,user4,1,C01,16-10-15-8-13,16,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",92PV_Poison_GanScale_0p9_Secure
MLP,0.0037061329931020737,0.06087801605463028,0.02966519631445408,15.925142288208008,0.5854333594993308,0,2,13,user5,1,C01,16-10-15-8-13,16,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",92PV_Poison_GanScale_0p9_Secure
SoftDenseMoE,0.004059195518493652,0.06371181458234787,0.03139756992459297,81.4125816822052,2.7061377922693888,0,2,13,user5,1,C01,16-10-15-8-13,16,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",92PV_Poison_GanScale_0p9_Secure
