architecture,mse,rmse,mae,train_time,avg_time_epoch,round,fed_round,building,user_key,cluster_index,cluster_id,cluster_buildings,poisoned_building,attack_type,attack_details,attack,experiment
MLP,0.0043516079895198345,0.06596671789884567,0.03625509515404701,9.14556884765625,0.4086928367614746,0,2,16,user1,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",92PV_Poison_NoiseScale_0p3_Secure
SoftDenseMoE,0.005235704593360424,0.07235816866159439,0.047611575573682785,17.529320240020752,1.5751512267372825,0,2,16,user1,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",92PV_Poison_NoiseScale_0p3_Secure
MLP,0.006251036189496517,0.07906349748373032,0.03468061983585358,19.203516244888306,0.3802188968658447,0,2,10,user2,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",92PV_Poison_NoiseScale_0p3_Secure
SoftDenseMoE,0.006608412601053715,0.08129214495420456,0.03749527782201767,62.678181409835815,1.2497828435897826,0,2,10,user2,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",92PV_Poison_NoiseScale_0p3_Secure
MLP,0.007493876852095127,0.08656717836856842,0.04054388031363487,11.922202110290527,0.39213040669759114,0,2,15,user3,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",92PV_Poison_NoiseScale_0p3_Secure
SoftDenseMoE,0.0078482236713171,0.08859019726514816,0.04139917343854904,44.26762914657593,1.4688160339991252,0,2,15,user3,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",92PV_Poison_NoiseScale_0p3_Secure
MLP,0.0025110463611781597,0.0501103401184082,0.025162745267152786,12.936931133270264,0.38808746048898407,0,2,8,user4,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",92PV_Poison_NoiseScale_0p3_Secure
SoftDenseMoE,0.002780720591545105,0.05273253843188286,0.027735332027077675,66.33023142814636,1.3216554975509645,0,2,8,user4,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",92PV_Poison_NoiseScale_0p3_Secure
MLP,0.003894791007041931,0.06240826100111008,0.03154483437538147,5.9066009521484375,0.4112864221845354,0,2,13,user5,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",92PV_Poison_NoiseScale_0p3_Secure
SoftDenseMoE,0.004309662617743015,0.06564801931381226,0.032105959951877594,40.59512782096863,1.347002871831258,0,2,13,user5,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",92PV_Poison_NoiseScale_0p3_Secure
