architecture,mse,rmse,mae,train_time,avg_time_epoch,round,fed_round,building,user_key,cluster_index,cluster_id,cluster_buildings,poisoned_building,attack_type,attack_details,attack,experiment
MLP,0.006303098052740097,0.07939205318689346,0.04265005886554718,0.0,0.0,0,2,16,user1,1,C01,16-10,16,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",92PV_Poison_NoiseScale_0p6_Attack
SoftDenseMoE,0.005260289181023836,0.07252784818410873,0.04179839417338371,0.0,0.0,0,2,16,user1,1,C01,16-10,16,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",92PV_Poison_NoiseScale_0p6_Attack
MLP,0.011542202904820442,0.10743464529514313,0.056699883192777634,0.0,0.0,0,2,10,user2,1,C01,16-10,16,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",92PV_Poison_NoiseScale_0p6_Attack
SoftDenseMoE,0.009199880063533783,0.09591600298881531,0.051668666303157806,0.0,0.0,0,2,10,user2,1,C01,16-10,16,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",92PV_Poison_NoiseScale_0p6_Attack
MLP,0.009664338082075119,0.09830736368894577,0.05485932156443596,0.0,0.0,0,2,15,user1,2,C02,15-8,15,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",92PV_Poison_NoiseScale_0p6_Attack
SoftDenseMoE,0.010978639125823975,0.10477900505065918,0.062167465686798096,0.0,0.0,0,2,15,user1,2,C02,15-8,15,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",92PV_Poison_NoiseScale_0p6_Attack
MLP,0.004227814264595509,0.06502164155244827,0.03751545399427414,0.0,0.0,0,2,8,user2,2,C02,15-8,15,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",92PV_Poison_NoiseScale_0p6_Attack
SoftDenseMoE,0.0048506115563213825,0.06964632868766785,0.04362516850233078,0.0,0.0,0,2,8,user2,2,C02,15-8,15,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",92PV_Poison_NoiseScale_0p6_Attack
MLP,0.005987417418509722,0.07737840712070465,0.04634379222989082,0.0,0.0,0,2,13,user1,3,C03,13-11,13,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",92PV_Poison_NoiseScale_0p6_Attack
SoftDenseMoE,0.006043882109224796,0.07774240523576736,0.04855526238679886,0.0,0.0,0,2,13,user1,3,C03,13-11,13,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",92PV_Poison_NoiseScale_0p6_Attack
MLP,0.005947503261268139,0.07712005823850632,0.047259870916604996,0.0,0.0,0,2,11,user2,3,C03,13-11,13,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",92PV_Poison_NoiseScale_0p6_Attack
SoftDenseMoE,0.00501376623287797,0.07080795615911484,0.04588927701115608,0.0,0.0,0,2,11,user2,3,C03,13-11,13,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",92PV_Poison_NoiseScale_0p6_Attack
MLP,0.006382560823112726,0.07989092916250229,0.05024103447794914,0.0,0.0,0,2,7,user1,4,C04,7-20,7,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",92PV_Poison_NoiseScale_0p6_Attack
SoftDenseMoE,0.006185163743793964,0.07864581048488617,0.05169868469238281,0.0,0.0,0,2,7,user1,4,C04,7-20,7,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",92PV_Poison_NoiseScale_0p6_Attack
MLP,0.00638789776712656,0.0799243226647377,0.04935971647500992,0.0,0.0,0,2,20,user2,4,C04,7-20,7,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",92PV_Poison_NoiseScale_0p6_Attack
SoftDenseMoE,0.006363821681588888,0.07977356761693954,0.05157434195280075,0.0,0.0,0,2,20,user2,4,C04,7-20,7,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",92PV_Poison_NoiseScale_0p6_Attack
MLP,0.00910881720483303,0.09544012695550919,0.05873062461614609,0.0,0.0,0,2,4,user1,5,C05,4-1,4,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",92PV_Poison_NoiseScale_0p6_Attack
SoftDenseMoE,0.00709997583180666,0.08426135778427124,0.04958714544773102,0.0,0.0,0,2,4,user1,5,C05,4-1,4,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",92PV_Poison_NoiseScale_0p6_Attack
MLP,0.0063859159126877785,0.07991192489862442,0.04790151119232178,0.0,0.0,0,2,1,user2,5,C05,4-1,4,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",92PV_Poison_NoiseScale_0p6_Attack
SoftDenseMoE,0.005081328563392162,0.07128343731164932,0.04088471829891205,0.0,0.0,0,2,1,user2,5,C05,4-1,4,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",92PV_Poison_NoiseScale_0p6_Attack
MLP,0.006405123975127935,0.08003202080726624,0.04747417941689491,0.0,0.0,0,2,17,user1,6,C06,17-6,17,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",92PV_Poison_NoiseScale_0p6_Attack
SoftDenseMoE,0.007765485439449549,0.08812199532985687,0.054447926580905914,0.0,0.0,0,2,17,user1,6,C06,17-6,17,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",92PV_Poison_NoiseScale_0p6_Attack
MLP,0.00903126411139965,0.0950329601764679,0.056496042758226395,0.0,0.0,0,2,6,user2,6,C06,17-6,17,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",92PV_Poison_NoiseScale_0p6_Attack
SoftDenseMoE,0.009829328395426273,0.09914296865463257,0.062293361872434616,0.0,0.0,0,2,6,user2,6,C06,17-6,17,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",92PV_Poison_NoiseScale_0p6_Attack
MLP,0.007799766957759857,0.08831629157066345,0.06364060193300247,0.0,0.0,0,2,12,user1,7,C07,12-19,12,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",92PV_Poison_NoiseScale_0p6_Attack
