architecture,mse,rmse,mae,train_time,avg_time_epoch,round,fed_round,building,user_key,cluster_index,cluster_id,cluster_buildings,poisoned_building,attack_type,attack_details,attack,experiment
MLP,0.006090980023145676,0.07804472744464874,0.044948358088731766,7.514519453048706,0.5655314922332764,0,2,16,user1,1,C01,16-10,16,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",92PV_Poison_NoiseScale_0p6_LocalRetraining
SoftDenseMoE,0.008184822276234627,0.09047000855207443,0.05644672363996506,42.64205741882324,2.2322234856454948,0,2,16,user1,1,C01,16-10,16,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",92PV_Poison_NoiseScale_0p6_LocalRetraining
MLP,0.006384613923728466,0.07990378141403198,0.03606845811009407,18.576936960220337,0.5113299952612983,0,2,10,user2,1,C01,16-10,16,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",92PV_Poison_NoiseScale_0p6_LocalRetraining
SoftDenseMoE,0.006642800755798817,0.08150337636470795,0.03830815106630325,104.54101228713989,2.0854820346832277,0,2,10,user2,1,C01,16-10,16,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",92PV_Poison_NoiseScale_0p6_LocalRetraining
MLP,0.01116815023124218,0.1056794673204422,0.057328999042510986,10.067284345626831,0.49659503698349,0,2,15,user1,2,C02,15-8,15,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",92PV_Poison_NoiseScale_0p6_LocalRetraining
SoftDenseMoE,0.013275133445858955,0.11521776765584946,0.06647089868783951,43.56613326072693,2.1666576862335205,0,2,15,user1,2,C02,15-8,15,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",92PV_Poison_NoiseScale_0p6_LocalRetraining
MLP,0.002627038396894932,0.05125464126467705,0.026929091662168503,25.592190742492676,0.508252911567688,0,2,8,user2,2,C02,15-8,15,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",92PV_Poison_NoiseScale_0p6_LocalRetraining
SoftDenseMoE,0.0026749330572783947,0.05171975493431091,0.0270422101020813,104.75076270103455,2.08957181930542,0,2,8,user2,2,C02,15-8,15,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",92PV_Poison_NoiseScale_0p6_LocalRetraining
MLP,0.008107039146125317,0.09003909677267075,0.053266741335392,6.708336591720581,0.5478209654490153,0,2,13,user1,3,C03,13-11,13,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",92PV_Poison_NoiseScale_0p6_LocalRetraining
SoftDenseMoE,0.009388057515025139,0.09689199179410934,0.06478649377822876,27.261761903762817,2.25627330938975,0,2,13,user1,3,C03,13-11,13,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",92PV_Poison_NoiseScale_0p6_LocalRetraining
