architecture,mse,rmse,mae,train_time,avg_time_epoch,round,fed_round,building,user_key,cluster_index,cluster_id,cluster_buildings,poisoned_building,attack_type,attack_details,attack,experiment
MLP,0.0026997916866093874,0.05195951834321022,0.03614921122789383,25.588521480560303,2.1020119984944663,0,2,16,user1,1,C01,16-10,16,backdoor,"mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p0_LocalRetraining
SoftDenseMoE,0.004762178286910057,0.06900853663682938,0.053894318640232086,117.46834588050842,8.339770248958043,0,2,16,user1,1,C01,16-10,16,backdoor,"mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p0_LocalRetraining
MLP,0.012333682738244534,0.11105711758136749,0.05772986263036728,72.97676634788513,1.81246297955513,0,2,10,user2,1,C01,16-10,16,backdoor,"mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p0_LocalRetraining
SoftDenseMoE,0.013043941929936409,0.11421007663011551,0.06307696551084518,375.60475277900696,7.497710499763489,0,2,10,user2,1,C01,16-10,16,backdoor,"mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p0_LocalRetraining
MLP,0.007462643086910248,0.08638659119606018,0.045262791216373444,100.84209251403809,2.001937217712402,0,2,15,user1,2,C02,15-8,15,backdoor,"mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p0_LocalRetraining
SoftDenseMoE,0.008420156314969063,0.09176141023635864,0.05091366916894913,356.5936691761017,7.113576917648316,0,2,15,user1,2,C02,15-8,15,backdoor,"mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p0_LocalRetraining
MLP,0.009426022879779339,0.09708770364522934,0.06276753544807434,52.998839378356934,1.7550316333770752,0,2,8,user2,2,C02,15-8,15,backdoor,"mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p0_LocalRetraining
SoftDenseMoE,0.009757963009178638,0.09878240525722504,0.06465571373701096,404.92263007164,8.084832091331482,0,2,8,user2,2,C02,15-8,15,backdoor,"mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p0_LocalRetraining
MLP,0.0022827647626399994,0.047778286039829254,0.028669685125350952,29.00171446800232,2.3853266636530557,0,2,13,user1,3,C03,13-11,13,backdoor,"mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p0_LocalRetraining
SoftDenseMoE,0.002214744221419096,0.047061070799827576,0.026437535881996155,330.2943618297577,7.661155489988105,0,2,13,user1,3,C03,13-11,13,backdoor,"mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p0_LocalRetraining
MLP,0.0029756641015410423,0.054549649357795715,0.038072314113378525,47.467012882232666,2.32299143075943,0,2,11,user2,3,C03,13-11,13,backdoor,"mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p0_LocalRetraining
SoftDenseMoE,0.0029469362925738096,0.0542856901884079,0.03626123443245888,138.0283408164978,9.136550060908,0,2,11,user2,3,C03,13-11,13,backdoor,"mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p0_LocalRetraining
MLP,0.004433115012943745,0.06658164411783218,0.03845938295125961,67.12605309486389,1.8011209707002382,0,2,7,user1,4,C04,7-20,7,backdoor,"mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p0_LocalRetraining
SoftDenseMoE,0.004947740584611893,0.07034017890691757,0.041932929307222366,356.712229013443,7.111646518707276,0,2,7,user1,4,C04,7-20,7,backdoor,"mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p0_LocalRetraining
MLP,0.0035541981924325228,0.059617094695568085,0.035185880959033966,64.59044909477234,1.9655869603157043,0,2,20,user2,4,C04,7-20,7,backdoor,"mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p0_LocalRetraining
SoftDenseMoE,0.0035864487290382385,0.05988696590065956,0.035765983164310455,350.0881505012512,6.982136373519897,0,2,20,user2,4,C04,7-20,7,backdoor,"mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p0_LocalRetraining
MLP,0.007357401307672262,0.08577529340982437,0.049898259341716766,65.87802195549011,1.597197364016277,0,2,4,user1,5,C05,4-1,4,backdoor,"mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p0_LocalRetraining
SoftDenseMoE,0.008572930470108986,0.09259012341499329,0.05693765729665756,344.5341055393219,6.875465474128723,0,2,4,user1,5,C05,4-1,4,backdoor,"mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p0_LocalRetraining
MLP,0.007301056291908026,0.08544621616601944,0.06162719801068306,86.25722527503967,1.6934150409698487,0,2,1,user2,5,C05,4-1,4,backdoor,"mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p0_LocalRetraining
SoftDenseMoE,0.007848228327929974,0.08859022706747055,0.06495887786149979,335.172315120697,6.691091542243957,0,2,1,user2,5,C05,4-1,4,backdoor,"mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p0_LocalRetraining
MLP,0.003385580610483885,0.05818574130535126,0.03845977038145065,59.12457776069641,1.306593624750773,0,2,17,user1,6,C06,17-6,17,backdoor,"mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p0_LocalRetraining
SoftDenseMoE,0.003577886614948511,0.059815436601638794,0.03983406350016594,306.76217436790466,6.1224799156188965,0,2,17,user1,6,C06,17-6,17,backdoor,"mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p0_LocalRetraining
MLP,0.009100534953176975,0.0953967273235321,0.06053771823644638,53.721850633621216,1.4059013065538908,0,2,6,user2,6,C06,17-6,17,backdoor,"mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p0_LocalRetraining
SoftDenseMoE,0.010156309232115746,0.10077851265668869,0.06636036932468414,292.65700697898865,5.84235146522522,0,2,6,user2,6,C06,17-6,17,backdoor,"mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p0_LocalRetraining
MLP,0.002825920470058918,0.05315938591957092,0.04108447581529617,29.567627429962158,1.4655288100242614,0,2,12,user1,7,C07,12-19,12,backdoor,"mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p0_LocalRetraining
SoftDenseMoE,0.0023420758079737425,0.04839499667286873,0.035864297300577164,90.30874824523926,7.478059868017833,0,2,12,user1,7,C07,12-19,12,backdoor,"mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p0_LocalRetraining
MLP,0.005212499760091305,0.07219764590263367,0.04199621081352234,54.236552238464355,1.5860048602609074,0,2,19,user2,7,C07,12-19,12,backdoor,"mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p0_LocalRetraining
SoftDenseMoE,0.004947284702211618,0.07033693790435791,0.03739102557301521,67.85060811042786,6.125298261642456,0,2,19,user2,7,C07,12-19,12,backdoor,"mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p0_LocalRetraining
MLP,0.0031969943083822727,0.05654196813702583,0.028105387464165688,22.413525819778442,2.0145626068115234,0,2,3,user1,8,C08,3-5,3,backdoor,"mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p0_LocalRetraining
SoftDenseMoE,0.0033234606962651014,0.057649463415145874,0.03133342042565346,69.61397409439087,6.277447505430742,0,2,3,user1,8,C08,3-5,3,backdoor,"mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p0_LocalRetraining
MLP,0.012743441388010979,0.11288685351610184,0.07547278702259064,31.8679518699646,1.5067988009679885,0,2,5,user2,8,C08,3-5,3,backdoor,"mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p0_LocalRetraining
SoftDenseMoE,0.014054978266358376,0.11855369061231613,0.07897740602493286,343.27034187316895,6.851713232994079,0,2,5,user2,8,C08,3-5,3,backdoor,"mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p0_LocalRetraining
MLP,0.013093124143779278,0.1144251897931099,0.07649801671504974,44.14912462234497,1.514546090158923,0,2,18,user1,9,C09,18-2,18,backdoor,"mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p0_LocalRetraining
SoftDenseMoE,0.013199718669056892,0.11489003151655197,0.07672394067049026,317.1256618499756,6.3285987138748165,0,2,18,user1,9,C09,18-2,18,backdoor,"mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p0_LocalRetraining
MLP,0.009917596355080605,0.09958712756633759,0.05564507842063904,70.03699231147766,1.5164087958957837,0,2,2,user2,9,C09,18-2,18,backdoor,"mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p0_LocalRetraining
SoftDenseMoE,0.010233655571937561,0.10116153210401535,0.05618133023381233,314.48054242134094,6.279297752380371,0,2,2,user2,9,C09,18-2,18,backdoor,"mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p0_LocalRetraining
MLP,0.007418750319629908,0.08613216876983643,0.055334120988845825,17.03655195236206,1.3981880346934001,0,2,14,user1,10,C10,14-9,14,backdoor,"mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p0_LocalRetraining
SoftDenseMoE,0.007883013226091862,0.08878633379936218,0.057243216782808304,66.66062211990356,6.015299385244196,0,2,14,user1,10,C10,14-9,14,backdoor,"mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p0_LocalRetraining
MLP,0.009966671466827393,0.09983322024345398,0.05565069988369942,28.51041054725647,1.2857340032404119,0,2,9,user2,10,C10,14-9,14,backdoor,"mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p0_LocalRetraining
SoftDenseMoE,0.010080711916089058,0.10040275007486343,0.054038017988204956,283.84139752388,5.666317677497863,0,2,9,user2,10,C10,14-9,14,backdoor,"mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p0_LocalRetraining
