architecture,mse,rmse,mae,train_time,avg_time_epoch,round,fed_round,building,user_key,cluster_index,cluster_id,cluster_buildings,poisoned_building,attack_type,attack_details,attack,experiment
MLP,0.005832397844642401,0.07637013494968414,0.05551670119166374,0.0,0.0,0,2,16,user1,1,C01,16-10,16,backdoor,"mode=gan, start=None, steps=4, epsilon=0.6, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.6, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p6_Attack
SoftDenseMoE,0.005140547640621662,0.07169761508703232,0.053176797926425934,0.0,0.0,0,2,16,user1,1,C01,16-10,16,backdoor,"mode=gan, start=None, steps=4, epsilon=0.6, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.6, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p6_Attack
MLP,0.015385794453322887,0.12403948605060577,0.08263707160949707,0.0,0.0,0,2,10,user2,1,C01,16-10,16,backdoor,"mode=gan, start=None, steps=4, epsilon=0.6, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.6, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p6_Attack
SoftDenseMoE,0.018224608153104782,0.13499854505062103,0.08857019245624542,0.0,0.0,0,2,10,user2,1,C01,16-10,16,backdoor,"mode=gan, start=None, steps=4, epsilon=0.6, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.6, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p6_Attack
MLP,0.015621790662407875,0.1249871626496315,0.06603268533945084,0.0,0.0,0,2,15,user1,2,C02,15-8,15,backdoor,"mode=gan, start=None, steps=4, epsilon=0.6, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.6, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p6_Attack
SoftDenseMoE,0.014010494574904442,0.11836593598127365,0.06486532092094421,0.0,0.0,0,2,15,user1,2,C02,15-8,15,backdoor,"mode=gan, start=None, steps=4, epsilon=0.6, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.6, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p6_Attack
MLP,0.012546511366963387,0.11201120913028717,0.08038846403360367,0.0,0.0,0,2,8,user2,2,C02,15-8,15,backdoor,"mode=gan, start=None, steps=4, epsilon=0.6, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.6, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p6_Attack
SoftDenseMoE,0.01149091124534607,0.1071956679224968,0.07649724185466766,0.0,0.0,0,2,8,user2,2,C02,15-8,15,backdoor,"mode=gan, start=None, steps=4, epsilon=0.6, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.6, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p6_Attack
MLP,0.004283434711396694,0.06544795632362366,0.04941067844629288,0.0,0.0,0,2,13,user1,3,C03,13-11,13,backdoor,"mode=gan, start=None, steps=4, epsilon=0.6, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.6, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p6_Attack
SoftDenseMoE,0.0028339321725070477,0.05323468893766403,0.03889312595129013,0.0,0.0,0,2,13,user1,3,C03,13-11,13,backdoor,"mode=gan, start=None, steps=4, epsilon=0.6, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.6, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p6_Attack
MLP,0.0038926347624510527,0.06239098310470581,0.04226997494697571,0.0,0.0,0,2,11,user2,3,C03,13-11,13,backdoor,"mode=gan, start=None, steps=4, epsilon=0.6, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.6, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p6_Attack
SoftDenseMoE,0.00308687100186944,0.05555961653590202,0.037129465490579605,0.0,0.0,0,2,11,user2,3,C03,13-11,13,backdoor,"mode=gan, start=None, steps=4, epsilon=0.6, lambda_reg=0.0001","backdoor(mode=gan, start=None, steps=4, epsilon=0.6, lambda_reg=0.0001)",93Prosumption_Backdoor_GanScale_0p6_Attack
