hour,mse,rmse,mae,user,architecture,round,fed_round,cluster_index,cluster_id,cluster_buildings,poisoned_building,attack_type,attack_details,attack,experiment
0,0.001532639842480421,0.03914894433417613,0.030935533344745636,user1,MLP,0,2,1,C01,16-10,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",93Prosumption_Backdoor_NoiseScale_0p0_LocalRetraining
1,0.0013236295199021697,0.03638171958418362,0.03167586773633957,user1,MLP,0,2,1,C01,16-10,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",93Prosumption_Backdoor_NoiseScale_0p0_LocalRetraining
2,0.0005341822397895157,0.023112382823705473,0.019851502031087875,user1,MLP,0,2,1,C01,16-10,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",93Prosumption_Backdoor_NoiseScale_0p0_LocalRetraining
3,0.0005935239605605602,0.024362347189065346,0.017483897507190704,user1,MLP,0,2,1,C01,16-10,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",93Prosumption_Backdoor_NoiseScale_0p0_LocalRetraining
4,0.0009956939611583948,0.03155461869771832,0.016170931980013847,user1,MLP,0,2,1,C01,16-10,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",93Prosumption_Backdoor_NoiseScale_0p0_LocalRetraining
5,0.0006410856731235981,0.025319669688279863,0.01969394087791443,user1,MLP,0,2,1,C01,16-10,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",93Prosumption_Backdoor_NoiseScale_0p0_LocalRetraining
6,0.0016478163888677955,0.0405933047295708,0.031591515988111496,user1,MLP,0,2,1,C01,16-10,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",93Prosumption_Backdoor_NoiseScale_0p0_LocalRetraining
7,0.0016948878765106201,0.041169015976953105,0.02822713740170002,user1,MLP,0,2,1,C01,16-10,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",93Prosumption_Backdoor_NoiseScale_0p0_LocalRetraining
8,0.001690988545306027,0.04112163111193459,0.02669866755604744,user1,MLP,0,2,1,C01,16-10,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",93Prosumption_Backdoor_NoiseScale_0p0_LocalRetraining
9,0.0020521252881735563,0.04530038949251492,0.03129087761044502,user1,MLP,0,2,1,C01,16-10,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",93Prosumption_Backdoor_NoiseScale_0p0_LocalRetraining
10,0.0022488937247544527,0.04742250230380565,0.03407744690775871,user1,MLP,0,2,1,C01,16-10,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",93Prosumption_Backdoor_NoiseScale_0p0_LocalRetraining
11,0.002396319294348359,0.04895221439678045,0.03471190109848976,user1,MLP,0,2,1,C01,16-10,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",93Prosumption_Backdoor_NoiseScale_0p0_LocalRetraining
12,0.0023793336004018784,0.048778413262445086,0.03625476732850075,user1,MLP,0,2,1,C01,16-10,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",93Prosumption_Backdoor_NoiseScale_0p0_LocalRetraining
13,0.002776555949822068,0.05269303511681661,0.03903483599424362,user1,MLP,0,2,1,C01,16-10,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",93Prosumption_Backdoor_NoiseScale_0p0_LocalRetraining
14,0.0022499985061585903,0.04743414915605202,0.03413762152194977,user1,MLP,0,2,1,C01,16-10,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",93Prosumption_Backdoor_NoiseScale_0p0_LocalRetraining
15,0.002556734951213002,0.050564166671794385,0.03964054211974144,user1,MLP,0,2,1,C01,16-10,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",93Prosumption_Backdoor_NoiseScale_0p0_LocalRetraining
16,0.003183846827596426,0.05642558663936447,0.0476471446454525,user1,MLP,0,2,1,C01,16-10,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",93Prosumption_Backdoor_NoiseScale_0p0_LocalRetraining
17,0.009203735738992691,0.0959361023754493,0.06386077404022217,user1,MLP,0,2,1,C01,16-10,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",93Prosumption_Backdoor_NoiseScale_0p0_LocalRetraining
18,0.0073026870377361774,0.08545576070538591,0.06559640914201736,user1,MLP,0,2,1,C01,16-10,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",93Prosumption_Backdoor_NoiseScale_0p0_LocalRetraining
19,0.00643165921792388,0.08019762601177094,0.06112399324774742,user1,MLP,0,2,1,C01,16-10,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.0","backdoor(mode=noise, start=None, steps=4, noise_scale=0.0)",93Prosumption_Backdoor_NoiseScale_0p0_LocalRetraining
