hour,mse,rmse,mae,user,architecture,round,fed_round,cluster_index,cluster_id,cluster_buildings,poisoned_building,attack_type,attack_details,attack,experiment
0,0.0015695919282734394,0.039618075777016724,0.031099557876586914,user1,MLP,0,2,1,C01,16-10-15-8-13,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.9","backdoor(mode=noise, start=None, steps=4, noise_scale=0.9)",93Prosumption_Backdoor_NoiseScale_0p9_Secure
1,0.002552076941356063,0.05051808528988468,0.04616587236523628,user1,MLP,0,2,1,C01,16-10-15-8-13,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.9","backdoor(mode=noise, start=None, steps=4, noise_scale=0.9)",93Prosumption_Backdoor_NoiseScale_0p9_Secure
2,0.0018950270023196936,0.04353190786445838,0.041233815252780914,user1,MLP,0,2,1,C01,16-10-15-8-13,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.9","backdoor(mode=noise, start=None, steps=4, noise_scale=0.9)",93Prosumption_Backdoor_NoiseScale_0p9_Secure
3,0.0017816514009609818,0.0422096126606367,0.039644498378038406,user1,MLP,0,2,1,C01,16-10-15-8-13,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.9","backdoor(mode=noise, start=None, steps=4, noise_scale=0.9)",93Prosumption_Backdoor_NoiseScale_0p9_Secure
4,0.002184155397117138,0.0467349483482879,0.04009585455060005,user1,MLP,0,2,1,C01,16-10-15-8-13,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.9","backdoor(mode=noise, start=None, steps=4, noise_scale=0.9)",93Prosumption_Backdoor_NoiseScale_0p9_Secure
5,0.0019793843384832144,0.044490272402888414,0.04174168035387993,user1,MLP,0,2,1,C01,16-10-15-8-13,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.9","backdoor(mode=noise, start=None, steps=4, noise_scale=0.9)",93Prosumption_Backdoor_NoiseScale_0p9_Secure
6,0.0017852399032562971,0.04225209939466082,0.037624940276145935,user1,MLP,0,2,1,C01,16-10-15-8-13,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.9","backdoor(mode=noise, start=None, steps=4, noise_scale=0.9)",93Prosumption_Backdoor_NoiseScale_0p9_Secure
7,0.00310880271717906,0.05575663832387189,0.0485256128013134,user1,MLP,0,2,1,C01,16-10-15-8-13,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.9","backdoor(mode=noise, start=None, steps=4, noise_scale=0.9)",93Prosumption_Backdoor_NoiseScale_0p9_Secure
8,0.004397444427013397,0.06631322965301417,0.05836857855319977,user1,MLP,0,2,1,C01,16-10-15-8-13,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.9","backdoor(mode=noise, start=None, steps=4, noise_scale=0.9)",93Prosumption_Backdoor_NoiseScale_0p9_Secure
9,0.005276504438370466,0.0726395514741829,0.06129496544599533,user1,MLP,0,2,1,C01,16-10-15-8-13,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.9","backdoor(mode=noise, start=None, steps=4, noise_scale=0.9)",93Prosumption_Backdoor_NoiseScale_0p9_Secure
10,0.007291887421160936,0.0853925489791758,0.07172311097383499,user1,MLP,0,2,1,C01,16-10-15-8-13,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.9","backdoor(mode=noise, start=None, steps=4, noise_scale=0.9)",93Prosumption_Backdoor_NoiseScale_0p9_Secure
11,0.010017466731369495,0.10008729555427849,0.08841052651405334,user1,MLP,0,2,1,C01,16-10-15-8-13,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.9","backdoor(mode=noise, start=None, steps=4, noise_scale=0.9)",93Prosumption_Backdoor_NoiseScale_0p9_Secure
12,0.011583715677261353,0.10762767152206422,0.0950394719839096,user1,MLP,0,2,1,C01,16-10-15-8-13,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.9","backdoor(mode=noise, start=None, steps=4, noise_scale=0.9)",93Prosumption_Backdoor_NoiseScale_0p9_Secure
13,0.010494713671505451,0.10244370977031948,0.08515404164791107,user1,MLP,0,2,1,C01,16-10-15-8-13,16,backdoor,"mode=noise, start=None, steps=4, noise_scale=0.9","backdoor(mode=noise, start=None, steps=4, noise_scale=0.9)",93Prosumption_Backdoor_NoiseScale_0p9_Secure
