architecture,mse,rmse,mae,train_time,avg_time_epoch,round,fed_round,building,user_key,cluster_index,cluster_id,cluster_buildings,poisoned_building,attack_type,attack_details,attack,experiment
MLP,0.003673235420137644,0.060607220977544785,0.04309515282511711,0.0,0.0,0,2,16,user1,1,C01,16-10,16,poison,"mode=gan, epsilon=0.0, lambda_reg=0.0001","poison(mode=gan, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p0_Attack
SoftDenseMoE,0.004115872085094452,0.06415506452322006,0.04739249125123024,0.0,0.0,0,2,16,user1,1,C01,16-10,16,poison,"mode=gan, epsilon=0.0, lambda_reg=0.0001","poison(mode=gan, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p0_Attack
MLP,0.0191199854016304,0.13827504217624664,0.08046465367078781,0.0,0.0,0,2,10,user2,1,C01,16-10,16,poison,"mode=gan, epsilon=0.0, lambda_reg=0.0001","poison(mode=gan, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p0_Attack
SoftDenseMoE,0.020821861922740936,0.14429782330989838,0.09474164992570877,0.0,0.0,0,2,10,user2,1,C01,16-10,16,poison,"mode=gan, epsilon=0.0, lambda_reg=0.0001","poison(mode=gan, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p0_Attack
MLP,0.015017086640000343,0.12254422158002853,0.06341917812824249,0.0,0.0,0,2,15,user1,2,C02,15-8,15,poison,"mode=gan, epsilon=0.0, lambda_reg=0.0001","poison(mode=gan, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p0_Attack
SoftDenseMoE,0.015467074699699879,0.12436669319868088,0.06758212298154831,0.0,0.0,0,2,15,user1,2,C02,15-8,15,poison,"mode=gan, epsilon=0.0, lambda_reg=0.0001","poison(mode=gan, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p0_Attack
MLP,0.014005547389388084,0.11834503710269928,0.08409643918275833,0.0,0.0,0,2,8,user2,2,C02,15-8,15,poison,"mode=gan, epsilon=0.0, lambda_reg=0.0001","poison(mode=gan, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p0_Attack
SoftDenseMoE,0.012159372679889202,0.11026954650878906,0.07532662898302078,0.0,0.0,0,2,8,user2,2,C02,15-8,15,poison,"mode=gan, epsilon=0.0, lambda_reg=0.0001","poison(mode=gan, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p0_Attack
MLP,0.002717812079936266,0.05213264003396034,0.037472862750291824,0.0,0.0,0,2,13,user1,3,C03,13-11,13,poison,"mode=gan, epsilon=0.0, lambda_reg=0.0001","poison(mode=gan, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p0_Attack
SoftDenseMoE,0.002557107014581561,0.05056784674525261,0.033835772424936295,0.0,0.0,0,2,13,user1,3,C03,13-11,13,poison,"mode=gan, epsilon=0.0, lambda_reg=0.0001","poison(mode=gan, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p0_Attack
MLP,0.0030222986824810505,0.05497543886303902,0.03587658703327179,0.0,0.0,0,2,11,user2,3,C03,13-11,13,poison,"mode=gan, epsilon=0.0, lambda_reg=0.0001","poison(mode=gan, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p0_Attack
SoftDenseMoE,0.003060110379010439,0.05531826615333557,0.03458281233906746,0.0,0.0,0,2,11,user2,3,C03,13-11,13,poison,"mode=gan, epsilon=0.0, lambda_reg=0.0001","poison(mode=gan, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p0_Attack
MLP,0.006646773777902126,0.08152774721384048,0.04486138001084328,0.0,0.0,0,2,7,user1,4,C04,7-20,7,poison,"mode=gan, epsilon=0.0, lambda_reg=0.0001","poison(mode=gan, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p0_Attack
SoftDenseMoE,0.007986198179423809,0.08936553448438644,0.0478447861969471,0.0,0.0,0,2,7,user1,4,C04,7-20,7,poison,"mode=gan, epsilon=0.0, lambda_reg=0.0001","poison(mode=gan, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p0_Attack
MLP,0.0046197036281228065,0.06796839833259583,0.04612637311220169,0.0,0.0,0,2,20,user2,4,C04,7-20,7,poison,"mode=gan, epsilon=0.0, lambda_reg=0.0001","poison(mode=gan, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p0_Attack
SoftDenseMoE,0.004323743749409914,0.06575518101453781,0.04329678788781166,0.0,0.0,0,2,20,user2,4,C04,7-20,7,poison,"mode=gan, epsilon=0.0, lambda_reg=0.0001","poison(mode=gan, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p0_Attack
MLP,0.01777825690805912,0.13333512842655182,0.10346480458974838,0.0,0.0,0,2,4,user1,5,C05,4-1,4,poison,"mode=gan, epsilon=0.0, lambda_reg=0.0001","poison(mode=gan, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p0_Attack
SoftDenseMoE,0.016113298013806343,0.12693816423416138,0.10160966962575912,0.0,0.0,0,2,4,user1,5,C05,4-1,4,poison,"mode=gan, epsilon=0.0, lambda_reg=0.0001","poison(mode=gan, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p0_Attack
MLP,0.01992257684469223,0.14114736020565033,0.10729308426380157,0.0,0.0,0,2,1,user2,5,C05,4-1,4,poison,"mode=gan, epsilon=0.0, lambda_reg=0.0001","poison(mode=gan, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p0_Attack
SoftDenseMoE,0.02453727461397648,0.15664377808570862,0.11741243302822113,0.0,0.0,0,2,1,user2,5,C05,4-1,4,poison,"mode=gan, epsilon=0.0, lambda_reg=0.0001","poison(mode=gan, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p0_Attack
MLP,0.004390210844576359,0.06625866889953613,0.04582569748163223,0.0,0.0,0,2,17,user1,6,C06,17-6,17,poison,"mode=gan, epsilon=0.0, lambda_reg=0.0001","poison(mode=gan, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p0_Attack
SoftDenseMoE,0.005042954348027706,0.07101376354694366,0.04889374226331711,0.0,0.0,0,2,17,user1,6,C06,17-6,17,poison,"mode=gan, epsilon=0.0, lambda_reg=0.0001","poison(mode=gan, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p0_Attack
MLP,0.013214203529059887,0.11495304852724075,0.06671179831027985,0.0,0.0,0,2,6,user2,6,C06,17-6,17,poison,"mode=gan, epsilon=0.0, lambda_reg=0.0001","poison(mode=gan, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p0_Attack
SoftDenseMoE,0.013090166263282299,0.11441226303577423,0.06842197477817535,0.0,0.0,0,2,6,user2,6,C06,17-6,17,poison,"mode=gan, epsilon=0.0, lambda_reg=0.0001","poison(mode=gan, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p0_Attack
MLP,0.0022028509993106127,0.04693454131484032,0.033118169754743576,0.0,0.0,0,2,12,user1,7,C07,12-19,12,poison,"mode=gan, epsilon=0.0, lambda_reg=0.0001","poison(mode=gan, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p0_Attack
SoftDenseMoE,0.0019753179512917995,0.044444549828767776,0.0297719594091177,0.0,0.0,0,2,12,user1,7,C07,12-19,12,poison,"mode=gan, epsilon=0.0, lambda_reg=0.0001","poison(mode=gan, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p0_Attack
MLP,0.004662165883928537,0.06828005611896515,0.03431686758995056,0.0,0.0,0,2,19,user2,7,C07,12-19,12,poison,"mode=gan, epsilon=0.0, lambda_reg=0.0001","poison(mode=gan, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p0_Attack
SoftDenseMoE,0.004658734891563654,0.06825492531061172,0.03469443321228027,0.0,0.0,0,2,19,user2,7,C07,12-19,12,poison,"mode=gan, epsilon=0.0, lambda_reg=0.0001","poison(mode=gan, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p0_Attack
MLP,0.0033108845818787813,0.05754028633236885,0.030326178297400475,0.0,0.0,0,2,3,user1,8,C08,3-5,3,poison,"mode=gan, epsilon=0.0, lambda_reg=0.0001","poison(mode=gan, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p0_Attack
SoftDenseMoE,0.003388660494238138,0.05821220204234123,0.03163496404886246,0.0,0.0,0,2,3,user1,8,C08,3-5,3,poison,"mode=gan, epsilon=0.0, lambda_reg=0.0001","poison(mode=gan, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p0_Attack
MLP,0.013504964299499989,0.11621086299419403,0.07755712419748306,0.0,0.0,0,2,5,user2,8,C08,3-5,3,poison,"mode=gan, epsilon=0.0, lambda_reg=0.0001","poison(mode=gan, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p0_Attack
SoftDenseMoE,0.014350323006510735,0.11979283392429352,0.08254022896289825,0.0,0.0,0,2,5,user2,8,C08,3-5,3,poison,"mode=gan, epsilon=0.0, lambda_reg=0.0001","poison(mode=gan, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p0_Attack
MLP,0.01476914994418621,0.12152839452028275,0.07685510069131851,0.0,0.0,0,2,18,user1,9,C09,18-2,18,poison,"mode=gan, epsilon=0.0, lambda_reg=0.0001","poison(mode=gan, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p0_Attack
SoftDenseMoE,0.013989667408168316,0.11827792227268219,0.07451234012842178,0.0,0.0,0,2,18,user1,9,C09,18-2,18,poison,"mode=gan, epsilon=0.0, lambda_reg=0.0001","poison(mode=gan, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p0_Attack
MLP,0.011484629474580288,0.1071663647890091,0.06186046078801155,0.0,0.0,0,2,2,user2,9,C09,18-2,18,poison,"mode=gan, epsilon=0.0, lambda_reg=0.0001","poison(mode=gan, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p0_Attack
SoftDenseMoE,0.011221805587410927,0.10593302547931671,0.058725662529468536,0.0,0.0,0,2,2,user2,9,C09,18-2,18,poison,"mode=gan, epsilon=0.0, lambda_reg=0.0001","poison(mode=gan, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p0_Attack
MLP,0.008070003241300583,0.08983319997787476,0.050151579082012177,0.0,0.0,0,2,14,user1,10,C10,14-9,14,poison,"mode=gan, epsilon=0.0, lambda_reg=0.0001","poison(mode=gan, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p0_Attack
SoftDenseMoE,0.007932079955935478,0.08906222879886627,0.050431977957487106,0.0,0.0,0,2,14,user1,10,C10,14-9,14,poison,"mode=gan, epsilon=0.0, lambda_reg=0.0001","poison(mode=gan, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p0_Attack
MLP,0.010322625748813152,0.10160032659769058,0.052414536476135254,0.0,0.0,0,2,9,user2,10,C10,14-9,14,poison,"mode=gan, epsilon=0.0, lambda_reg=0.0001","poison(mode=gan, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p0_Attack
SoftDenseMoE,0.0098343500867486,0.09916829317808151,0.05404282733798027,0.0,0.0,0,2,9,user2,10,C10,14-9,14,poison,"mode=gan, epsilon=0.0, lambda_reg=0.0001","poison(mode=gan, epsilon=0.0, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p0_Attack
