architecture,mse,rmse,mae,train_time,avg_time_epoch,round,fed_round,building,user_key,cluster_index,cluster_id,cluster_buildings,poisoned_building,attack_type,attack_details,attack,experiment
MLP,0.015185887925326824,0.12323103845119476,0.09110860526561737,42.28012990951538,1.4026845932006835,0,2,16,user1,1,C01,16-10,16,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p6_LocalRetraining
SoftDenseMoE,0.017852073535323143,0.13361164927482605,0.10143764317035675,254.5598976612091,5.082957663536072,0,2,16,user1,1,C01,16-10,16,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p6_LocalRetraining
MLP,0.012603411450982094,0.11226491630077362,0.05816848203539848,31.670953035354614,1.368354320526123,0,2,10,user2,1,C01,16-10,16,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p6_LocalRetraining
SoftDenseMoE,0.015141068026423454,0.1230490505695343,0.06759132444858551,248.29286694526672,4.955681610107422,0,2,10,user2,1,C01,16-10,16,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p6_LocalRetraining
MLP,0.02859741449356079,0.16910770535469055,0.12470833957195282,21.86136555671692,1.44450839360555,0,2,15,user1,2,C02,15-8,15,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p6_LocalRetraining
SoftDenseMoE,0.02436792477965355,0.1561022847890854,0.09691786766052246,258.9798016548157,5.169974899291992,0,2,15,user1,2,C02,15-8,15,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p6_LocalRetraining
MLP,0.009428804740309715,0.09710203111171722,0.06367908418178558,30.039499282836914,1.356428319757635,0,2,8,user2,2,C02,15-8,15,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p6_LocalRetraining
SoftDenseMoE,0.009891185909509659,0.09945444017648697,0.06533437967300415,263.70475363731384,5.265200362205506,0,2,8,user2,2,C02,15-8,15,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p6_LocalRetraining
MLP,0.07956012338399887,0.2820640504360199,0.2690652310848236,16.32139754295349,1.468482342633334,0,2,13,user1,3,C03,13-11,13,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p6_LocalRetraining
SoftDenseMoE,0.013204636983573437,0.11491142958402634,0.09000704437494278,64.94520330429077,5.37918084859848,0,2,13,user1,3,C03,13-11,13,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p6_LocalRetraining
MLP,0.0030339991208165884,0.05508175119757652,0.03951480612158775,67.57235789299011,1.3468743753433228,0,2,11,user2,3,C03,13-11,13,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p6_LocalRetraining
SoftDenseMoE,0.0029260809533298016,0.05409326031804085,0.036439523100852966,259.3168752193451,5.176732220649719,0,2,11,user2,3,C03,13-11,13,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p6_LocalRetraining
MLP,0.08077342063188553,0.28420665860176086,0.26371392607688904,15.165479183197021,1.364613489671187,0,2,7,user1,4,C04,7-20,7,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p6_LocalRetraining
SoftDenseMoE,0.045330945402383804,0.21291065216064453,0.18580104410648346,60.88856625556946,5.496573469855568,0,2,7,user1,4,C04,7-20,7,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p6_LocalRetraining
MLP,0.0035160097759217024,0.05929595232009888,0.03510671854019165,36.19338274002075,1.4394315242767335,0,2,20,user2,4,C04,7-20,7,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p6_LocalRetraining
SoftDenseMoE,0.003520948812365532,0.05933758243918419,0.03565576672554016,261.65867352485657,5.223708148002625,0,2,20,user2,4,C04,7-20,7,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p6_LocalRetraining
MLP,0.018903082236647606,0.1374884843826294,0.09229161590337753,15.051361322402954,1.3537637320431797,0,2,4,user1,5,C05,4-1,4,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p6_LocalRetraining
SoftDenseMoE,0.01670384779572487,0.1292433738708496,0.08060962706804276,83.76812314987183,5.949074813297817,0,2,4,user1,5,C05,4-1,4,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p6_LocalRetraining
MLP,0.00758785754442215,0.0871083065867424,0.06267599761486053,71.20251703262329,1.4183859872817992,0,2,1,user2,5,C05,4-1,4,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p6_LocalRetraining
SoftDenseMoE,0.008024915121495724,0.08958189189434052,0.06584873050451279,268.64248967170715,5.363159728050232,0,2,1,user2,5,C05,4-1,4,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p6_LocalRetraining
MLP,0.03814183920621872,0.19529935717582703,0.1565958708524704,16.367981672286987,1.4716555638746782,0,2,17,user1,6,C06,17-6,17,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p6_LocalRetraining
SoftDenseMoE,0.019382208585739136,0.1392199993133545,0.10143305361270905,74.76430988311768,5.718353234804594,0,2,17,user1,6,C06,17-6,17,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p6_LocalRetraining
MLP,0.009144902229309082,0.09562898427248001,0.06225421279668808,43.81220316886902,1.3628350645303726,0,2,6,user2,6,C06,17-6,17,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p6_LocalRetraining
SoftDenseMoE,0.010555921122431755,0.10274200886487961,0.0667816773056984,280.6078884601593,5.602371916770935,0,2,6,user2,6,C06,17-6,17,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p6_LocalRetraining
MLP,0.1178690567612648,0.3433206379413605,0.3378714919090271,17.848889589309692,1.606478669426658,0,2,12,user1,7,C07,12-19,12,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p6_LocalRetraining
SoftDenseMoE,0.16346171498298645,0.40430399775505066,0.40154504776000977,63.75190544128418,5.754299749027599,0,2,12,user1,7,C07,12-19,12,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p6_LocalRetraining
MLP,0.005120077170431614,0.07155471295118332,0.04192252457141876,54.581275939941406,1.3595643103122712,0,2,19,user2,7,C07,12-19,12,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p6_LocalRetraining
SoftDenseMoE,0.005090475082397461,0.07134756445884705,0.03978794068098068,202.68480157852173,5.776938479287284,0,2,19,user2,7,C07,12-19,12,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p6_LocalRetraining
MLP,0.09072396904230118,0.30120420455932617,0.28136399388313293,17.028167009353638,1.531401200727983,0,2,3,user1,8,C08,3-5,3,poison,"mode=gan, epsilon=0.6, lambda_reg=0.0001","poison(mode=gan, epsilon=0.6, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p6_LocalRetraining
