architecture,mse,rmse,mae,train_time,avg_time_epoch,round,fed_round,building,user_key,cluster_index,cluster_id,cluster_buildings,poisoned_building,attack_type,attack_details,attack,experiment
MLP,0.027330245822668076,0.16531862318515778,0.14454618096351624,8.170670986175537,0.7259982282465155,0,2,16,user1,1,C01,16-10-15-8-13,16,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p9_Secure
SoftDenseMoE,0.027102913707494736,0.16462962329387665,0.14910227060317993,35.0928590297699,3.1624442013827236,0,2,16,user1,1,C01,16-10-15-8-13,16,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p9_Secure
MLP,0.014799368567764759,0.12165265530347824,0.06024963781237602,20.98017930984497,0.6273710077459161,0,2,10,user2,1,C01,16-10-15-8-13,16,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p9_Secure
SoftDenseMoE,0.017794741317629814,0.1333969384431839,0.07111836224794388,128.85963535308838,2.5710383605957032,0,2,10,user2,1,C01,16-10-15-8-13,16,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p9_Secure
MLP,0.007748742587864399,0.08802694082260132,0.04610949009656906,26.607210159301758,0.5266258430480957,0,2,15,user3,1,C01,16-10-15-8-13,16,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p9_Secure
SoftDenseMoE,0.009796028025448322,0.09897488355636597,0.055984653532505035,151.05867457389832,3.012281746864319,0,2,15,user3,1,C01,16-10-15-8-13,16,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p9_Secure
MLP,0.009571579284965992,0.09783444553613663,0.06437008082866669,27.67884659767151,0.5490449476242065,0,2,8,user4,1,C01,16-10-15-8-13,16,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p9_Secure
SoftDenseMoE,0.010379272513091564,0.10187871754169464,0.06714899837970734,127.87527918815613,2.5492391109466555,0,2,8,user4,1,C01,16-10-15-8-13,16,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p9_Secure
MLP,0.0023154316004365683,0.04811893031001091,0.02852894738316536,14.436259269714355,0.7472387615003084,0,2,13,user5,1,C01,16-10-15-8-13,16,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p9_Secure
SoftDenseMoE,0.002284595277160406,0.047797441482543945,0.027133727446198463,83.94374179840088,2.53503113081961,0,2,13,user5,1,C01,16-10-15-8-13,16,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p9_Secure
MLP,0.013894257135689259,0.1178739070892334,0.09316150844097137,10.798346519470215,0.708057435353597,0,2,11,user1,2,C02,11-7-20-4-1,11,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p9_Secure
SoftDenseMoE,0.013699635863304138,0.11704544723033905,0.08834810554981232,77.28295826911926,2.331880489985148,0,2,11,user1,2,C02,11-7-20-4-1,11,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p9_Secure
MLP,0.004272022750228643,0.06536071002483368,0.03786848112940788,27.729369401931763,0.5972749720449033,0,2,7,user2,2,C02,11-7-20-4-1,11,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p9_Secure
SoftDenseMoE,0.005115393083542585,0.07152197510004044,0.04230649769306183,119.36911153793335,2.3799966096878054,0,2,7,user2,2,C02,11-7-20-4-1,11,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p9_Secure
MLP,0.003810922149568796,0.06173266842961311,0.037105489522218704,16.277095794677734,0.5957163704766167,0,2,20,user3,2,C02,11-7-20-4-1,11,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p9_Secure
SoftDenseMoE,0.0035336303990334272,0.05944434553384781,0.03527325764298439,134.10203886032104,2.844208539800441,0,2,20,user3,2,C02,11-7-20-4-1,11,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p9_Secure
MLP,0.007603832986205816,0.08719995617866516,0.04875218868255615,32.99339056015015,0.6533920335769653,0,2,4,user4,2,C02,11-7-20-4-1,11,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p9_Secure
SoftDenseMoE,0.008086998015642166,0.08992774039506912,0.05334441736340523,125.945317029953,2.5129448127746583,0,2,4,user4,2,C02,11-7-20-4-1,11,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p9_Secure
MLP,0.007710076868534088,0.08780704438686371,0.06361833214759827,30.31329321861267,0.6016299390792846,0,2,1,user5,2,C02,11-7-20-4-1,11,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p9_Secure
SoftDenseMoE,0.007634410168975592,0.08737511187791824,0.0637531504034996,111.1590530872345,2.4640268007914226,0,2,1,user5,2,C02,11-7-20-4-1,11,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p9_Secure
MLP,0.03556907922029495,0.1885976642370224,0.16723157465457916,8.011836290359497,0.7151289853182706,0,2,17,user1,3,C03,17-6-12-19-3,17,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p9_Secure
SoftDenseMoE,0.01141074113547802,0.10682106763124466,0.08406208455562592,73.36043429374695,2.435916868845622,0,2,17,user1,3,C03,17-6-12-19-3,17,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p9_Secure
MLP,0.008854804560542107,0.0940999686717987,0.06156095862388611,29.765161752700806,0.5907914733886719,0,2,6,user2,3,C03,17-6-12-19-3,17,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p9_Secure
SoftDenseMoE,0.010672273114323616,0.10330669581890106,0.06678944081068039,121.99950242042542,2.431888666152954,0,2,6,user2,3,C03,17-6-12-19-3,17,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p9_Secure
MLP,0.0023825683165341616,0.04881155863404274,0.035959891974925995,20.58333396911621,0.5664915508694119,0,2,12,user3,3,C03,17-6-12-19-3,17,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p9_Secure
SoftDenseMoE,0.0031291123013943434,0.055938467383384705,0.04417187720537186,109.34558272361755,2.6561720720151576,0,2,12,user3,3,C03,17-6-12-19-3,17,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p9_Secure
MLP,0.005294817499816418,0.07276549935340881,0.041128698736429214,9.566909313201904,0.8523888154463335,0,2,19,user4,3,C03,17-6-12-19-3,17,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p9_Secure
SoftDenseMoE,0.005107925273478031,0.0714697539806366,0.04021991789340973,89.82516288757324,2.6299072644289803,0,2,19,user4,3,C03,17-6-12-19-3,17,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p9_Secure
MLP,0.0033011138439178467,0.05745531991124153,0.02982681430876255,9.822003364562988,0.8735004771839489,0,2,3,user5,3,C03,17-6-12-19-3,17,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p9_Secure
SoftDenseMoE,0.0032979839015752077,0.05742807686328888,0.02888403832912445,30.973628759384155,2.791789423335682,0,2,3,user5,3,C03,17-6-12-19-3,17,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p9_Secure
MLP,0.045923762023448944,0.2142983078956604,0.14527225494384766,9.411609649658203,0.8348583958365701,0,2,5,user1,4,C04,5-18-2-14-9,5,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p9_Secure
SoftDenseMoE,0.04166318476200104,0.2041156142950058,0.143898144364357,39.96052861213684,3.6098307479511607,0,2,5,user1,4,C04,5-18-2-14-9,5,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p9_Secure
MLP,0.01333650667220354,0.11548379063606262,0.07678720355033875,32.31974172592163,0.6416470670700073,0,2,18,user2,4,C04,5-18-2-14-9,5,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p9_Secure
SoftDenseMoE,0.013208113610744476,0.11492655426263809,0.07663851231336594,133.16491842269897,2.6555084371566773,0,2,18,user2,4,C04,5-18-2-14-9,5,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p9_Secure
MLP,0.009992252103984356,0.09996125102043152,0.05476563051342964,32.4376175403595,0.6427944850921631,0,2,2,user3,4,C04,5-18-2-14-9,5,poison,"mode=gan, epsilon=0.9, lambda_reg=0.0001","poison(mode=gan, epsilon=0.9, lambda_reg=0.0001)",93Prosumption_Poison_GanScale_0p9_Secure
