architecture,mse,rmse,mae,train_time,avg_time_epoch,round,fed_round,building,user_key,cluster_index,cluster_id,cluster_buildings,poisoned_building,attack_type,attack_details,attack,experiment
MLP,0.004900578409433365,0.07000412791967392,0.046801745891571045,0.0,0.0,0,2,16,user1,1,C01,16-10,16,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",93Prosumption_Poison_NoiseScale_0p3_Attack
SoftDenseMoE,0.005496583878993988,0.07413894683122635,0.05425029247999191,0.0,0.0,0,2,16,user1,1,C01,16-10,16,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",93Prosumption_Poison_NoiseScale_0p3_Attack
MLP,0.01809430494904518,0.13451507687568665,0.09603886306285858,0.0,0.0,0,2,10,user2,1,C01,16-10,16,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",93Prosumption_Poison_NoiseScale_0p3_Attack
SoftDenseMoE,0.016832536086440086,0.12974026799201965,0.0868128314614296,0.0,0.0,0,2,10,user2,1,C01,16-10,16,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",93Prosumption_Poison_NoiseScale_0p3_Attack
MLP,0.013478627428412437,0.11609748750925064,0.06134042888879776,0.0,0.0,0,2,15,user1,2,C02,15-8,15,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",93Prosumption_Poison_NoiseScale_0p3_Attack
SoftDenseMoE,0.014707572758197784,0.12127478420734406,0.0700543224811554,0.0,0.0,0,2,15,user1,2,C02,15-8,15,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",93Prosumption_Poison_NoiseScale_0p3_Attack
MLP,0.015168063342571259,0.12315869331359863,0.08786620944738388,0.0,0.0,0,2,8,user2,2,C02,15-8,15,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",93Prosumption_Poison_NoiseScale_0p3_Attack
SoftDenseMoE,0.013992665335536003,0.11829059571027756,0.08329476416110992,0.0,0.0,0,2,8,user2,2,C02,15-8,15,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",93Prosumption_Poison_NoiseScale_0p3_Attack
MLP,0.0033273310400545597,0.05768302083015442,0.039006806910037994,0.0,0.0,0,2,13,user1,3,C03,13-11,13,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",93Prosumption_Poison_NoiseScale_0p3_Attack
SoftDenseMoE,0.0035441319923847914,0.059532612562179565,0.040658969432115555,0.0,0.0,0,2,13,user1,3,C03,13-11,13,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",93Prosumption_Poison_NoiseScale_0p3_Attack
MLP,0.0047646136954426765,0.06902617961168289,0.044601600617170334,0.0,0.0,0,2,11,user2,3,C03,13-11,13,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",93Prosumption_Poison_NoiseScale_0p3_Attack
SoftDenseMoE,0.004353799857199192,0.06598333269357681,0.04348310828208923,0.0,0.0,0,2,11,user2,3,C03,13-11,13,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",93Prosumption_Poison_NoiseScale_0p3_Attack
MLP,0.009033826179802418,0.09504644572734833,0.05482901260256767,0.0,0.0,0,2,7,user1,4,C04,7-20,7,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",93Prosumption_Poison_NoiseScale_0p3_Attack
SoftDenseMoE,0.00930488295853138,0.09646181762218475,0.06046776846051216,0.0,0.0,0,2,7,user1,4,C04,7-20,7,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",93Prosumption_Poison_NoiseScale_0p3_Attack
MLP,0.006473907269537449,0.08046059310436249,0.056848883628845215,0.0,0.0,0,2,20,user2,4,C04,7-20,7,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",93Prosumption_Poison_NoiseScale_0p3_Attack
