architecture,mse,rmse,mae,train_time,avg_time_epoch,round,fed_round,building,user_key,cluster_index,cluster_id,cluster_buildings,poisoned_building,attack_type,attack_details,attack,experiment
MLP,0.00813498254865408,0.09019413590431213,0.07991012185811996,20.34927272796631,1.255236878991127,0,2,16,user1,1,C01,16-10,16,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",93Prosumption_Poison_NoiseScale_0p3_LocalRetraining
SoftDenseMoE,0.008527986705303192,0.09234710037708282,0.07618467509746552,49.015443563461304,4.3986684625799,0,2,16,user1,1,C01,16-10,16,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",93Prosumption_Poison_NoiseScale_0p3_LocalRetraining
MLP,0.013164825737476349,0.11473807692527771,0.060072142630815506,65.09000563621521,2.3608162932925754,0,2,10,user2,1,C01,16-10,16,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",93Prosumption_Poison_NoiseScale_0p3_LocalRetraining
SoftDenseMoE,0.014736725017428398,0.12139490991830826,0.06502483785152435,190.13637971878052,3.791066737174988,0,2,10,user2,1,C01,16-10,16,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",93Prosumption_Poison_NoiseScale_0p3_LocalRetraining
MLP,0.00851459614932537,0.09227456897497177,0.04874957352876663,48.885714054107666,1.4133466902901144,0,2,15,user1,2,C02,15-8,15,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",93Prosumption_Poison_NoiseScale_0p3_LocalRetraining
SoftDenseMoE,0.009611655957996845,0.09803905338048935,0.053937219083309174,192.78961896896362,3.843974094390869,0,2,15,user1,2,C02,15-8,15,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",93Prosumption_Poison_NoiseScale_0p3_LocalRetraining
MLP,0.00922849029302597,0.09606502950191498,0.06290853023529053,29.151228427886963,1.4270590543746948,0,2,8,user2,2,C02,15-8,15,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",93Prosumption_Poison_NoiseScale_0p3_LocalRetraining
SoftDenseMoE,0.009730850346386433,0.09864507615566254,0.0649118572473526,169.2605595588684,3.373332633972168,0,2,8,user2,2,C02,15-8,15,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",93Prosumption_Poison_NoiseScale_0p3_LocalRetraining
MLP,0.004275085870176554,0.065384142100811,0.040187589824199677,27.42953372001648,2.304208820516413,0,2,13,user1,3,C03,13-11,13,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",93Prosumption_Poison_NoiseScale_0p3_LocalRetraining
SoftDenseMoE,0.004797103349119425,0.06926112622022629,0.03952878713607788,77.56517934799194,7.009079326282848,0,2,13,user1,3,C03,13-11,13,poison,"mode=noise, distribution=uniform, scale=0.3","poison(mode=noise, distribution=uniform, scale=0.3)",93Prosumption_Poison_NoiseScale_0p3_LocalRetraining
