architecture,mse,rmse,mae,train_time,avg_time_epoch,round,fed_round,building,user_key,cluster_index,cluster_id,cluster_buildings,poisoned_building,attack_type,attack_details,attack,experiment
MLP,0.007428986486047506,0.0861915722489357,0.06593666970729828,0.0,0.0,0,2,16,user1,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",93Prosumption_Poison_NoiseScale_0p6_Clustering
SoftDenseMoE,0.006000891327857971,0.07746542245149612,0.05770394951105118,0.0,0.0,0,2,16,user1,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",93Prosumption_Poison_NoiseScale_0p6_Clustering
MLP,0.018598346039652824,0.13637575507164001,0.07371790707111359,0.0,0.0,0,2,10,user2,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",93Prosumption_Poison_NoiseScale_0p6_Clustering
SoftDenseMoE,0.017350155860185623,0.13171999156475067,0.0702492743730545,0.0,0.0,0,2,10,user2,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",93Prosumption_Poison_NoiseScale_0p6_Clustering
MLP,0.013912772759795189,0.11795241385698318,0.05776975303888321,0.0,0.0,0,2,15,user3,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",93Prosumption_Poison_NoiseScale_0p6_Clustering
SoftDenseMoE,0.013296294026076794,0.11530955880880356,0.059811390936374664,0.0,0.0,0,2,15,user3,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",93Prosumption_Poison_NoiseScale_0p6_Clustering
MLP,0.01288211066275835,0.11349938809871674,0.08536557853221893,0.0,0.0,0,2,8,user4,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",93Prosumption_Poison_NoiseScale_0p6_Clustering
SoftDenseMoE,0.012171301059424877,0.11032362282276154,0.08091312646865845,0.0,0.0,0,2,8,user4,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",93Prosumption_Poison_NoiseScale_0p6_Clustering
MLP,0.004136481788009405,0.06431548297405243,0.039418648928403854,0.0,0.0,0,2,13,user5,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",93Prosumption_Poison_NoiseScale_0p6_Clustering
SoftDenseMoE,0.004363028332591057,0.06605322659015656,0.043925341218709946,0.0,0.0,0,2,13,user5,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",93Prosumption_Poison_NoiseScale_0p6_Clustering
MLP,0.004668943118304014,0.06832966208457947,0.054621510207653046,0.0,0.0,0,2,11,user1,2,C02,11-7-20-4-1,11,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",93Prosumption_Poison_NoiseScale_0p6_Clustering
SoftDenseMoE,0.004870525561273098,0.06978914886713028,0.052994173020124435,0.0,0.0,0,2,11,user1,2,C02,11-7-20-4-1,11,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",93Prosumption_Poison_NoiseScale_0p6_Clustering
MLP,0.010003821924328804,0.10001910477876663,0.054648589342832565,0.0,0.0,0,2,7,user2,2,C02,11-7-20-4-1,11,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",93Prosumption_Poison_NoiseScale_0p6_Clustering
SoftDenseMoE,0.009065970778465271,0.09521539509296417,0.053068857640028,0.0,0.0,0,2,7,user2,2,C02,11-7-20-4-1,11,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",93Prosumption_Poison_NoiseScale_0p6_Clustering
MLP,0.00894269347190857,0.09456581622362137,0.0769842341542244,0.0,0.0,0,2,20,user3,2,C02,11-7-20-4-1,11,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",93Prosumption_Poison_NoiseScale_0p6_Clustering
SoftDenseMoE,0.0068236542865633965,0.08260541409254074,0.06264069676399231,0.0,0.0,0,2,20,user3,2,C02,11-7-20-4-1,11,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",93Prosumption_Poison_NoiseScale_0p6_Clustering
MLP,0.017796436324715614,0.13340328633785248,0.11752770096063614,0.0,0.0,0,2,4,user4,2,C02,11-7-20-4-1,11,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",93Prosumption_Poison_NoiseScale_0p6_Clustering
SoftDenseMoE,0.014253543689846992,0.11938820779323578,0.09647049009799957,0.0,0.0,0,2,4,user4,2,C02,11-7-20-4-1,11,poison,"mode=noise, distribution=uniform, scale=0.6","poison(mode=noise, distribution=uniform, scale=0.6)",93Prosumption_Poison_NoiseScale_0p6_Clustering
