architecture,mse,rmse,mae,train_time,avg_time_epoch,round,fed_round,building,user_key,cluster_index,cluster_id,cluster_buildings,poisoned_building,attack_type,attack_details,attack,experiment
MLP,0.014547014608979225,0.12061100453138351,0.09060459583997726,10.616871356964111,0.9466927701776678,0,2,16,user1,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.9","poison(mode=noise, distribution=uniform, scale=0.9)",93Prosumption_Poison_NoiseScale_0p9_Secure
SoftDenseMoE,0.009821895509958267,0.09910547733306885,0.06584953516721725,45.231934785842896,3.7239872217178345,0,2,16,user1,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.9","poison(mode=noise, distribution=uniform, scale=0.9)",93Prosumption_Poison_NoiseScale_0p9_Secure
MLP,0.013025453314185143,0.11412911117076874,0.05835660547018051,25.970466136932373,0.5728732162051731,0,2,10,user2,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.9","poison(mode=noise, distribution=uniform, scale=0.9)",93Prosumption_Poison_NoiseScale_0p9_Secure
SoftDenseMoE,0.015772921964526176,0.12559029459953308,0.06810487061738968,107.56139945983887,2.136279139518738,0,2,10,user2,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.9","poison(mode=noise, distribution=uniform, scale=0.9)",93Prosumption_Poison_NoiseScale_0p9_Secure
MLP,0.007654679473489523,0.08749102801084518,0.04639898240566254,37.8249785900116,0.7450169754028321,0,2,15,user3,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.9","poison(mode=noise, distribution=uniform, scale=0.9)",93Prosumption_Poison_NoiseScale_0p9_Secure
SoftDenseMoE,0.00869887974113226,0.0932677835226059,0.05204030126333237,98.90920448303223,1.9714679336547851,0,2,15,user3,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.9","poison(mode=noise, distribution=uniform, scale=0.9)",93Prosumption_Poison_NoiseScale_0p9_Secure
MLP,0.009722157381474972,0.09860099852085114,0.06486596167087555,17.27500343322754,0.5494070130009805,0,2,8,user4,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.9","poison(mode=noise, distribution=uniform, scale=0.9)",93Prosumption_Poison_NoiseScale_0p9_Secure
SoftDenseMoE,0.010074670426547527,0.10037265717983246,0.06692485511302948,98.15953230857849,1.9534468173980712,0,2,8,user4,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.9","poison(mode=noise, distribution=uniform, scale=0.9)",93Prosumption_Poison_NoiseScale_0p9_Secure
MLP,0.0022345625329762697,0.047271158546209335,0.027447441592812538,18.95635485649109,0.5625500245527788,0,2,13,user5,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.9","poison(mode=noise, distribution=uniform, scale=0.9)",93Prosumption_Poison_NoiseScale_0p9_Secure
SoftDenseMoE,0.002221702830865979,0.047134943306446075,0.026908228173851967,62.955472469329834,2.5036599159240724,0,2,13,user5,1,C01,16-10-15-8-13,16,poison,"mode=noise, distribution=uniform, scale=0.9","poison(mode=noise, distribution=uniform, scale=0.9)",93Prosumption_Poison_NoiseScale_0p9_Secure
MLP,0.006303547881543636,0.0793948844075203,0.06243281438946724,22.49007749557495,0.4408808517456055,0,2,11,user1,2,C02,11-7-20-4-1,11,poison,"mode=noise, distribution=uniform, scale=0.9","poison(mode=noise, distribution=uniform, scale=0.9)",93Prosumption_Poison_NoiseScale_0p9_Secure
SoftDenseMoE,0.006633555982261896,0.08144664764404297,0.06373457610607147,69.38855957984924,2.1555062532424927,0,2,11,user1,2,C02,11-7-20-4-1,11,poison,"mode=noise, distribution=uniform, scale=0.9","poison(mode=noise, distribution=uniform, scale=0.9)",93Prosumption_Poison_NoiseScale_0p9_Secure
MLP,0.00440334714949131,0.06635772436857224,0.038534607738256454,30.334731101989746,0.6380176493462096,0,2,7,user2,2,C02,11-7-20-4-1,11,poison,"mode=noise, distribution=uniform, scale=0.9","poison(mode=noise, distribution=uniform, scale=0.9)",93Prosumption_Poison_NoiseScale_0p9_Secure
SoftDenseMoE,0.005184885114431381,0.07200614362955093,0.0435028113424778,105.25502300262451,2.098990254402161,0,2,7,user2,2,C02,11-7-20-4-1,11,poison,"mode=noise, distribution=uniform, scale=0.9","poison(mode=noise, distribution=uniform, scale=0.9)",93Prosumption_Poison_NoiseScale_0p9_Secure
